57.544	58.8844	61728	61728
58.8844	60.256	62604	62604
60.256	61.6595	63875	63875
61.6595	63.0957	63847	63847
63.0957	64.5654	64681	64681
64.5654	66.0693	65446	65446
66.0693	67.6083	66245	66245
67.6083	69.1831	66752	66752
69.1831	70.7946	67704	67704
70.7946	72.4436	68712	68712
72.4436	74.131	69410	69410
74.131	75.8578	70190	70190
75.8578	77.6247	70634	70634
77.6247	79.4328	71233	71233
79.4328	81.2831	72453	72453
81.2831	83.1764	73030	73030
83.1764	85.1138	73586	73586
85.1138	87.0964	74173	74173
87.0964	89.1251	74995	74995
89.1251	91.2011	75815	75815
91.2011	93.3254	76178	76178
93.3254	95.4993	77251	77251
95.4993	97.7237	77822	77822
97.7237	100	78411	78411
100	102.329	78795	78795
102.329	104.713	79931	79931
104.713	107.152	80572	80572
107.152	109.648	81061	81061
109.648	112.202	81014	81014
112.202	114.815	81455	81455
114.815	117.49	82195	82195
117.49	120.226	82212	82212
120.226	123.027	81892	81892
123.027	125.893	81925	81925
125.893	128.825	81932	81932
128.825	131.826	81182	81182
131.826	134.896	80927	80927
134.896	138.038	80473	80473
138.038	141.254	79581	79581
141.254	144.544	77774	77774
144.544	147.911	77172	77172
147.911	151.356	75800	75800
151.356	154.882	73977	73977
154.882	158.489	71605	71605
158.489	162.181	69499	69499
162.181	165.959	67159	67159
165.959	169.824	64246	64246
169.824	173.78	61394	61394
173.78	177.828	57969	57969
177.828	181.97	54538	54538
181.97	186.209	51313	51313
186.209	190.546	47066	47066
190.546	194.984	43645	43645
194.984	199.526	40132	40132
199.526	204.174	36385	36385
204.174	208.93	32918	32918
208.93	213.796	29672	29672
213.796	218.776	26694	26694
218.776	223.872	23839	23839
223.872	229.087	21227	21227
229.087	234.423	18769	18769
234.423	239.883	16648	16648
239.883	245.471	14479	14479
245.471	251.189	12776	12776
251.189	257.04	11065	11065
257.04	263.027	9524	9524
263.027	269.153	8428	8428
269.153	275.423	7165	7165
275.423	281.838	6055	6055
281.838	288.403	4925	4925
288.403	295.121	4149	4149
295.121	301.995	3561	3561
301.995	309.03	2797	2797
309.03	316.228	2315	2315
316.228	323.594	1802	1802
323.594	331.131	1510	1510
331.131	338.844	1065	1065
338.844	346.737	833	833
346.737	354.813	648	648
354.813	363.078	483	483
363.078	371.535	371	371
371.535	380.189	294	294
380.189	389.045	198	198
389.045	398.107	127	127
398.107	407.38	95	95
407.38	416.869	82	82
416.869	426.58	48	48
426.58	436.516	27	27
436.516	446.684	22	22
446.684	457.088	12	12
457.088	467.735	1	1
467.735	478.63	7	7
478.63	489.779	5	5
489.779	501.187	2	2
501.187	512.861	1	1
512.861	524.807	2	2
524.807	537.032	1	1
537.032	549.541	0	0
549.541	562.341	0	0
562.341	575.44	0	0
575.44	588.844	0	0
588.844	602.56	0	0
602.56	616.595	0	0
616.595	630.957	0	0
630.957	645.654	0	0
645.654	660.693	0	0
660.693	676.083	0	0
676.083	691.831	0	0
691.831	707.946	0	0
707.946	724.436	0	0
724.436	741.31	0	0
741.31	758.578	0	0
758.578	776.247	0	0
776.247	794.328	0	0
794.328	812.831	0	0
812.831	831.764	0	0
831.764	851.138	0	0
851.138	870.964	0	0
870.964	891.251	0	0
891.251	912.011	0	0
912.011	933.254	0	0
933.254	954.993	0	0
954.993	977.237	0	0
977.237	1000	0	0
