1.000000    1.000000    1.167421    1.156250    1.205364    1.154225    1.120391 
1.124632    1.129460    1.107863    1.102152    1.104593    1.100285    
1.098450    1.092677    1.101124    1.106461    1.115049    1.123903    
1.126661    1.131259    1.133949    1.134185    1.133767    1.132813    
1.131515    1.144338                    
1.134171    1.139206    1.148474                
1.142189                        
1.140725    1.140100    1.139848    1.137674    1.138645    1.136339    
1.136439    1.135946    1.136431    1.135702    1.135703    1.134113    
1.131935    1.128381    1.126373    1.122453    1.120908    1.115953    
1.115947    1.114426    1.111749    1.106207    1.107494    1.103622    
1.102576    1.098816    1.097889    1.097306    1.097130    1.094578    
1.094552    1.090222    1.089358    1.085409    1.084560    1.082182    
1.080773    1.079464    1.078724    1.076121    1.075235    1.073159    
1.071920    1.070395    1.069503    1.067525    1.066919    1.065779    
1.065319    1.063730    1.062092    1.061085    1.059908    1.059815    
1.059109    1.051920    1.051258    1.049473    1.048823    1.045984    
1.046435    1.042614                    
