          Format            YIELD 
            Name              n40 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   5.457785e-04       0.012003 
      1.023293       1.047129   5.543505e-04       0.011910 
      1.047129       1.071519   5.734606e-04       0.011710 
      1.071519       1.096478   5.936717e-04       0.011509 
      1.096478       1.122018   6.057040e-04       0.011394 
      1.122018       1.148154   6.214325e-04       0.011249 
      1.148154       1.174898   6.329143e-04       0.011147 
      1.174898       1.202264   6.568216e-04       0.010942 
      1.202264       1.230269   6.765608e-04       0.010781 
      1.230269       1.258925   6.900087e-04       0.010675 
      1.258925       1.288250   7.117926e-04       0.010511 
      1.288250       1.318257   7.378233e-04       0.010324 
      1.318257       1.348963   7.589781e-04       0.010179 
      1.348963       1.380384   7.674715e-04       0.010122 
      1.380384       1.412538   7.970410e-04       0.009933 
      1.412538       1.445440   8.079723e-04       0.009865 
      1.445440       1.479108   8.259814e-04       0.009757 
      1.479108       1.513561   8.431255e-04       0.009657 
      1.513561       1.548817   8.725377e-04       0.009493 
      1.548817       1.584893   8.905469e-04       0.009397 
      1.584893       1.621810   9.109939e-04       0.009291 
      1.621810       1.659587   9.348225e-04       0.009171 
      1.659587       1.698244   9.524384e-04       0.009086 
      1.698244       1.737801   9.913664e-04       0.008906 
      1.737801       1.778279       0.001002       0.008860 
      1.778279       1.819701       0.001035       0.008715 
      1.819701       1.862087       0.001056       0.008630 
      1.862087       1.905461       0.001088       0.008499 
      1.905461       1.949845       0.001097       0.008465 
      1.949845       1.995262       0.001133       0.008332 
      1.995262       2.041738       0.001169       0.008203 
      2.041738       2.089296       0.001203       0.008084 
      2.089296       2.137962       0.001237       0.007974 
      2.137962       2.187762       0.001259       0.007904 
      2.187762       2.238721       0.001270       0.007869 
      2.238721       2.290868       0.001291       0.007806 
      2.290868       2.344229       0.001329       0.007693 
      2.344229       2.398833       0.001370       0.007577 
      2.398833       2.454709       0.001405       0.007482 
      2.454709       2.511886       0.001443       0.007381 
      2.511886       2.570396       0.001468       0.007318 
      2.570396       2.630268       0.001509       0.007219 
      2.630268       2.691535       0.001539       0.007149 
      2.691535       2.754229       0.001567       0.007083 
      2.754229       2.818383       0.001609       0.006990 
      2.818383       2.884032       0.001646       0.006912 
      2.884032       2.951209       0.001678       0.006845 
      2.951209       3.019952       0.001728       0.006746 
      3.019952       3.090295       0.001775       0.006655 
      3.090295       3.162278       0.001798       0.006614 
      3.162278       3.235937       0.001814       0.006584 
      3.235937       3.311311       0.001900       0.006432 
      3.311311       3.388442       0.001910       0.006416 
      3.388442       3.467369       0.001960       0.006334 
      3.467369       3.548134       0.002009       0.006256 
      3.548134       3.630781       0.002036       0.006215 
      3.630781       3.715352       0.002070       0.006163 
      3.715352       3.801894       0.002140       0.006062 
      3.801894       3.890451       0.002174       0.006014 
      3.890451       3.981072       0.002217       0.005955 
      3.981072       4.073803       0.002292       0.005857 
      4.073803       4.168694       0.002319       0.005822 
      4.168694       4.265795       0.002384       0.005743 
      4.265795       4.365158       0.002421       0.005698 
      4.365158       4.466836       0.002488       0.005621 
      4.466836       4.570882       0.002518       0.005587 
      4.570882       4.677351       0.002558       0.005543 
      4.677351       4.786301       0.002661       0.005436 
      4.786301       4.897788       0.002689       0.005407 
      4.897788       5.011872       0.002711       0.005385 
      5.011872       5.128614       0.002787       0.005311 
      5.128614       5.248075       0.002844       0.005257 
      5.248075       5.370318       0.002907       0.005200 
      5.370318       5.495409       0.002952       0.005160 
      5.495409       5.623413       0.003043       0.005083 
      5.623413       5.754399       0.003075       0.005056 
      5.754399       5.888437       0.003155       0.004991 
      5.888437       6.025596       0.003203       0.004954 
      6.025596       6.165950       0.003280       0.004896 
      6.165950       6.309573       0.003324       0.004863 
      6.309573       6.456542       0.003367       0.004832 
      6.456542       6.606934       0.003463       0.004764 
      6.606934       6.760830       0.003497       0.004741 
      6.760830       6.918310       0.003547       0.004708 
      6.918310       7.079458       0.003610       0.004666 
      7.079458       7.244360       0.003695       0.004612 
      7.244360       7.413102       0.003743       0.004582 
      7.413102       7.585776       0.003822       0.004535 
      7.585776       7.762471       0.003887       0.004497 
      7.762471       7.943282       0.003948       0.004462 
      7.943282       8.128305       0.004008       0.004429 
      8.128305       8.317638       0.004064       0.004398 
      8.317638       8.511380       0.004111       0.004373 
      8.511380       8.709636       0.004200       0.004326 
      8.709636       8.912509       0.004251       0.004300 
      8.912509       9.120108       0.004313       0.004269 
      9.120108       9.332543       0.004353       0.004249 
      9.332543       9.549926       0.004458       0.004199 
      9.549926       9.772372       0.004489       0.004185 
      9.772372      10.000000       0.004561       0.004151 
     10.000000      10.232930       0.004591       0.004138 
     10.232930      10.471285       0.004654       0.004109 
     10.471285      10.715193       0.004729       0.004077 
     10.715193      10.964782       0.004758       0.004064 
     10.964782      11.220185       0.004830       0.004034 
     11.220185      11.481536       0.004909       0.004001 
     11.481536      11.748976       0.004934       0.003991 
     11.748976      12.022644       0.004984       0.003971 
