          Format            YIELD 
            Name              n60 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   5.081030e-04       0.010036 
      1.023293       1.047129   5.284742e-04       0.009841 
      1.047129       1.071519   5.478217e-04       0.009665 
      1.071519       1.096478   5.586215e-04       0.009572 
      1.096478       1.122018   5.697284e-04       0.009478 
      1.122018       1.148154   5.841111e-04       0.009360 
      1.148154       1.174898   6.011554e-04       0.009227 
      1.174898       1.202264   6.118528e-04       0.009146 
      1.202264       1.230269   6.351927e-04       0.008976 
      1.230269       1.258925   6.505991e-04       0.008869 
      1.258925       1.288250   6.712774e-04       0.008731 
      1.288250       1.318257   6.931329e-04       0.008593 
      1.318257       1.348963   7.032161e-04       0.008531 
      1.348963       1.380384   7.220518e-04       0.008419 
      1.380384       1.412538   7.379189e-04       0.008328 
      1.412538       1.445440   7.675544e-04       0.008165 
      1.445440       1.479108   7.796849e-04       0.008102 
      1.479108       1.513561   7.902288e-04       0.008047 
      1.513561       1.548817   8.105489e-04       0.007946 
      1.548817       1.584893   8.356802e-04       0.007825 
      1.584893       1.621810   8.590201e-04       0.007718 
      1.621810       1.659587   8.877854e-04       0.007592 
      1.659587       1.698244   8.979198e-04       0.007549 
      1.698244       1.737801   9.239725e-04       0.007442 
      1.737801       1.778279   9.495644e-04       0.007341 
      1.778279       1.819701   9.760777e-04       0.007241 
      1.819701       1.862087       0.001001       0.007148 
      1.862087       1.905461       0.001024       0.007069 
      1.905461       1.949845       0.001049       0.006986 
      1.949845       1.995262       0.001057       0.006957 
      1.995262       2.041738       0.001094       0.006838 
      2.041738       2.089296       0.001119       0.006762 
      2.089296       2.137962       0.001148       0.006676 
      2.137962       2.187762       0.001177       0.006593 
      2.187762       2.238721       0.001184       0.006575 
      2.238721       2.290868       0.001234       0.006440 
      2.290868       2.344229       0.001266       0.006357 
      2.344229       2.398833       0.001299       0.006276 
      2.398833       2.454709       0.001320       0.006226 
      2.454709       2.511886       0.001354       0.006148 
      2.511886       2.570396       0.001375       0.006100 
      2.570396       2.630268       0.001424       0.005994 
      2.630268       2.691535       0.001437       0.005967 
      2.691535       2.754229       0.001496       0.005848 
      2.754229       2.818383       0.001504       0.005833 
      2.818383       2.884032       0.001544       0.005756 
      2.884032       2.951209       0.001562       0.005723 
      2.951209       3.019952       0.001628       0.005607 
      3.019952       3.090295       0.001657       0.005557 
      3.090295       3.162278       0.001708       0.005473 
      3.162278       3.235937       0.001736       0.005429 
      3.235937       3.311311       0.001763       0.005387 
      3.311311       3.388442       0.001815       0.005309 
      3.388442       3.467369       0.001845       0.005266 
      3.467369       3.548134       0.001901       0.005188 
      3.548134       3.630781       0.001940       0.005135 
      3.630781       3.715352       0.001953       0.005118 
      3.715352       3.801894       0.002017       0.005036 
      3.801894       3.890451       0.002070       0.004972 
      3.890451       3.981072       0.002106       0.004929 
      3.981072       4.073803       0.002160       0.004867 
      4.073803       4.168694       0.002193       0.004831 
      4.168694       4.265795       0.002266       0.004751 
      4.265795       4.365158       0.002286       0.004731 
      4.365158       4.466836       0.002330       0.004686 
      4.466836       4.570882       0.002405       0.004612 
      4.570882       4.677351       0.002427       0.004591 
      4.677351       4.786301       0.002482       0.004540 
      4.786301       4.897788       0.002536       0.004492 
      4.897788       5.011872       0.002612       0.004425 
      5.011872       5.128614       0.002644       0.004399 
      5.128614       5.248075       0.002681       0.004368 
      5.248075       5.370318       0.002745       0.004317 
      5.370318       5.495409       0.002806       0.004270 
      5.495409       5.623413       0.002832       0.004250 
      5.623413       5.754399       0.002926       0.004181 
      5.754399       5.888437       0.002965       0.004154 
      5.888437       6.025596       0.003048       0.004097 
      6.025596       6.165950       0.003095       0.004066 
      6.165950       6.309573       0.003132       0.004041 
      6.309573       6.456542       0.003185       0.004007 
      6.456542       6.606934       0.003242       0.003972 
      6.606934       6.760830       0.003303       0.003936 
      6.760830       6.918310       0.003364       0.003900 
      6.918310       7.079458       0.003412       0.003872 
      7.079458       7.244360       0.003457       0.003847 
      7.244360       7.413102       0.003528       0.003808 
      7.413102       7.585776       0.003584       0.003778 
      7.585776       7.762471       0.003631       0.003753 
      7.762471       7.943282       0.003697       0.003720 
      7.943282       8.128305       0.003740       0.003698 
      8.128305       8.317638       0.003811       0.003663 
      8.317638       8.511380       0.003878       0.003632 
      8.511380       8.709636       0.003949       0.003599 
      8.709636       8.912509       0.003988       0.003581 
      8.912509       9.120108       0.004045       0.003556 
      9.120108       9.332543       0.004072       0.003544 
      9.332543       9.549926       0.004138       0.003515 
      9.549926       9.772372       0.004181       0.003498 
      9.772372      10.000000       0.004261       0.003464 
     10.000000      10.232930       0.004286       0.003454 
     10.232930      10.471285       0.004331       0.003436 
     10.471285      10.715193       0.004385       0.003415 
     10.715193      10.964782       0.004426       0.003399 
     10.964782      11.220185       0.004478       0.003379 
     11.220185      11.481536       0.004541       0.003356 
     11.481536      11.748976       0.004556       0.003350 
     11.748976      12.022644       0.004614       0.003329 
     12.022644      12.302688       0.004650       0.003316 
     12.302688      12.589254       0.004692       0.003301 
     12.589254      12.882496       0.004703       0.003298 
     12.882496      13.182567       0.004740       0.003284 
     13.182567      13.489629       0.004769       0.003274 
     13.489629      13.803843       0.004788       0.003268 
     13.803843      14.125375       0.004821       0.003257 
     14.125375      14.454398       0.004840       0.003250 
     14.454398      14.791084       0.004882       0.003236 
     14.791084      15.135612       0.004892       0.003233 
     15.135612      15.488166       0.004907       0.003228 
     15.488166      15.848932       0.004894       0.003232 
     15.848932      16.218101       0.004923       0.003223 
     16.218101      16.595869       0.004894       0.003233 
     16.595869      16.982437       0.004922       0.003223 
     16.982437      17.378008       0.004926       0.003222 
     17.378008      17.782794       0.004935       0.003219 
     17.782794      18.197009       0.004928       0.003221 
     18.197009      18.620871       0.004901       0.003230 
     18.620871      19.054607       0.004903       0.003229 
     19.054607      19.498446       0.004892       0.003233 
     19.498446      19.952623       0.004861       0.003243 
     19.952623      20.417379       0.004828       0.003255 
     20.417379      20.892961       0.004803       0.003263 
     20.892961      21.379621       0.004797       0.003265 
     21.379621      21.877616       0.004814       0.003259 
     21.877616      22.387211       0.004787       0.003269 
     22.387211      22.908677       0.004750       0.003281 
     22.908677      23.442288       0.004700       0.003299 
     23.442288      23.988329       0.004693       0.003301 
     23.988329      24.547089       0.004663       0.003312 
     24.547089      25.118864       0.004651       0.003316 
     25.118864      25.703958       0.004615       0.003329 
     25.703958      26.302680       0.004562       0.003348 
     26.302680      26.915348       0.004532       0.003359 
     26.915348      27.542287       0.004526       0.003361 
     27.542287      28.183829       0.004480       0.003379 
     28.183829      28.840315       0.004445       0.003392 
     28.840315      29.512092       0.004408       0.003406 
     29.512092      30.199517       0.004363       0.003424 
     30.199517      30.902954       0.004360       0.003425 
     30.902954      31.622777       0.004323       0.003439 
     31.622777      32.359366       0.004275       0.003459 
     32.359366      33.113112       0.004232       0.003476 
     33.113112      33.884416       0.004235       0.003475 
     33.884416      34.673685       0.004198       0.003490 
     34.673685      35.481339       0.004158       0.003507 
     35.481339      36.307805       0.004134       0.003517 
     36.307805      37.153523       0.004096       0.003534 
     37.153523      38.018940       0.004077       0.003542 
     38.018940      38.904514       0.004072       0.003544 
     38.904514      39.810717       0.004014       0.003570 
     39.810717      40.738028       0.003990       0.003580 
     40.738028      41.686938       0.003958       0.003595 
     41.686938      42.657952       0.003950       0.003598 
     42.657952      43.651583       0.003914       0.003615 
     43.651583      44.668359       0.003877       0.003632 
     44.668359      45.708819       0.003857       0.003641 
     45.708819      46.773514       0.003839       0.003650 
     46.773514      47.863009       0.003817       0.003660 
     47.863009      48.977882       0.003783       0.003677 
     48.977882      50.118723       0.003794       0.003672 
     50.118723      51.286138       0.003748       0.003694 
     51.286138      52.480746       0.003751       0.003692 
     52.480746      53.703180       0.003694       0.003721 
     53.703180      54.954087       0.003692       0.003722 
     54.954087      56.234133       0.003666       0.003735 
     56.234133      57.543994       0.003659       0.003739 
     57.543994      58.884366       0.003643       0.003747 
     58.884366      60.255959       0.003622       0.003758 
     60.255959      61.659500       0.003630       0.003754 
     61.659500      63.095734       0.003583       0.003779 
     63.095734      64.565423       0.003556       0.003792 
     64.565423      66.069345       0.003539       0.003802 
     66.069345      67.608298       0.003545       0.003798 
     67.608298      69.183097       0.003507       0.003819 
     69.183097      70.794578       0.003510       0.003818 
     70.794578      72.443596       0.003486       0.003830 
     72.443596      74.131024       0.003422       0.003866 
     74.131024      75.857758       0.003428       0.003863 
     75.857758      77.624712       0.003393       0.003882 
     77.624712      79.432823       0.003373       0.003894 
     79.432823      81.283052       0.003324       0.003923 
     81.283052      83.176377       0.003306       0.003933 
     83.176377      85.113804       0.003265       0.003958 
     85.113804      87.096359       0.003219       0.003987 
     87.096359      89.125094       0.003169       0.004017 
     89.125094      91.201084       0.003143       0.004034 
     91.201084      93.325430       0.003103       0.004060 
     93.325430      95.499259       0.003046       0.004098 
     95.499259      97.723722       0.003020       0.004116 
     97.723722     100.000000       0.002975       0.004147 
    100.000000     102.329299       0.002893       0.004205 
    102.329299     104.712855       0.002824       0.004256 
    104.712855     107.151931       0.002762       0.004303 
    107.151931     109.647820       0.002714       0.004341 
    109.647820     112.201845       0.002619       0.004420 
    112.201845     114.815362       0.002572       0.004460 
    114.815362     117.489755       0.002473       0.004548 
    117.489755     120.226443       0.002401       0.004616 
    120.226443     123.026877       0.002332       0.004684 
    123.026877     125.892541       0.002234       0.004785 
    125.892541     128.824955       0.002152       0.004876 
    128.824955     131.825674       0.002070       0.004972 
    131.825674     134.896288       0.001963       0.005105 
    134.896288     138.038426       0.001842       0.005271 
    138.038426     141.253754       0.001763       0.005387 
    141.253754     144.543977       0.001658       0.005556 
    144.543977     147.910839       0.001573       0.005704 
    147.910839     151.356125       0.001461       0.005918 
    151.356125     154.881662       0.001361       0.006131 
    154.881662     158.489319       0.001272       0.006343 
    158.489319     162.181010       0.001181       0.006582 
    162.181010     165.958691       0.001081       0.006882 
    165.958691     169.824365       0.001009       0.007123 
