          Format            YIELD 
            Name              n30 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   5.460557e-04       0.014420 
      1.023293       1.047129   5.653590e-04       0.014172 
      1.047129       1.071519   5.979475e-04       0.013780 
      1.071519       1.096478   5.880688e-04       0.013895 
      1.096478       1.122018   6.068043e-04       0.013679 
      1.122018       1.148154   6.306495e-04       0.013418 
      1.148154       1.174898   6.643735e-04       0.013073 
      1.174898       1.202264   6.829955e-04       0.012893 
      1.202264       1.230269   6.996872e-04       0.012739 
      1.230269       1.258925   7.025259e-04       0.012713 
      1.258925       1.288250   7.337518e-04       0.012439 
      1.288250       1.318257   7.347737e-04       0.012431 
      1.318257       1.348963   7.531686e-04       0.012278 
      1.348963       1.380384   7.916616e-04       0.011976 
      1.380384       1.412538   8.108513e-04       0.011833 
      1.412538       1.445440   8.385572e-04       0.011636 
      1.445440       1.479108   8.501392e-04       0.011557 
      1.479108       1.513561   8.585418e-04       0.011500 
      1.513561       1.548817   8.775044e-04       0.011375 
      1.548817       1.584893   8.955587e-04       0.011260 
      1.584893       1.621810   9.492672e-04       0.010937 
      1.621810       1.659587   9.399562e-04       0.010991 
      1.659587       1.698244   9.909396e-04       0.010704 
      1.698244       1.737801   9.960493e-04       0.010677 
      1.737801       1.778279       0.001039       0.010452 
      1.778279       1.819701       0.001057       0.010362 
      1.819701       1.862087       0.001099       0.010162 
      1.862087       1.905461       0.001094       0.010187 
      1.905461       1.949845       0.001142       0.009972 
      1.949845       1.995262       0.001197       0.009740 
      1.995262       2.041738       0.001201       0.009724 
      2.041738       2.089296       0.001240       0.009568 
      2.089296       2.137962       0.001264       0.009479 
      2.137962       2.187762       0.001274       0.009440 
      2.187762       2.238721       0.001330       0.009239 
      2.238721       2.290868       0.001326       0.009254 
      2.290868       2.344229       0.001374       0.009089 
      2.344229       2.398833       0.001403       0.008996 
      2.398833       2.454709       0.001438       0.008884 
      2.454709       2.511886       0.001497       0.008710 
      2.511886       2.570396       0.001502       0.008694 
      2.570396       2.630268       0.001552       0.008552 
      2.630268       2.691535       0.001580       0.008477 
      2.691535       2.754229       0.001604       0.008412 
      2.754229       2.818383       0.001629       0.008348 
      2.818383       2.884032       0.001680       0.008221 
      2.884032       2.951209       0.001694       0.008186 
      2.951209       3.019952       0.001738       0.008083 
      3.019952       3.090295       0.001824       0.007889 
      3.090295       3.162278       0.001830       0.007877 
      3.162278       3.235937       0.001863       0.007807 
      3.235937       3.311311       0.001933       0.007664 
      3.311311       3.388442       0.001961       0.007609 
      3.388442       3.467369       0.002033       0.007474 
      3.467369       3.548134       0.002043       0.007454 
      3.548134       3.630781       0.002062       0.007420 
      3.630781       3.715352       0.002140       0.007284 
      3.715352       3.801894       0.002178       0.007220 
      3.801894       3.890451       0.002226       0.007142 
      3.890451       3.981072       0.002292       0.007038 
      3.981072       4.073803       0.002330       0.006980 
      4.073803       4.168694       0.002334       0.006975 
      4.168694       4.265795       0.002429       0.006837 
      4.265795       4.365158       0.002469       0.006781 
      4.365158       4.466836       0.002520       0.006712 
      4.466836       4.570882       0.002590       0.006621 
      4.570882       4.677351       0.002655       0.006539 
      4.677351       4.786301       0.002725       0.006454 
      4.786301       4.897788       0.002761       0.006413 
      4.897788       5.011872       0.002803       0.006364 
      5.011872       5.128614       0.002838       0.006324 
      5.128614       5.248075       0.002912       0.006244 
      5.248075       5.370318       0.002992       0.006159 
      5.370318       5.495409       0.002998       0.006154 
      5.495409       5.623413       0.003052       0.006099 
      5.623413       5.754399       0.003165       0.005988 
      5.754399       5.888437       0.003228       0.005930 
      5.888437       6.025596       0.003259       0.005902 
      6.025596       6.165950       0.003333       0.005836 
      6.165950       6.309573       0.003414       0.005766 
      6.309573       6.456542       0.003459       0.005728 
      6.456542       6.606934       0.003550       0.005655 
      6.606934       6.760830       0.003580       0.005631 
      6.760830       6.918310       0.003691       0.005546 
      6.918310       7.079458       0.003742       0.005507 
      7.079458       7.244360       0.003755       0.005498 
      7.244360       7.413102       0.003870       0.005416 
      7.413102       7.585776       0.003913       0.005386 
      7.585776       7.762471       0.003966       0.005350 
      7.762471       7.943282       0.004096       0.005264 
      7.943282       8.128305       0.004112       0.005254 
      8.128305       8.317638       0.004196       0.005201 
      8.317638       8.511380       0.004229       0.005181 
      8.511380       8.709636       0.004315       0.005129 
      8.709636       8.912509       0.004366       0.005099 
      8.912509       9.120108       0.004440       0.005056 
      9.120108       9.332543       0.004487       0.005029 
      9.332543       9.549926       0.004575       0.004981 
      9.549926       9.772372       0.004609       0.004963 
      9.772372      10.000000       0.004664       0.004933 
     10.000000      10.232930       0.004748       0.004889 
     10.232930      10.471285       0.004819       0.004853 
     10.471285      10.715193       0.004849       0.004838 
     10.715193      10.964782       0.004948       0.004790 
     10.964782      11.220185       0.004978       0.004775 
     11.220185      11.481536       0.005003       0.004763 
     11.481536      11.748976       0.005059       0.004737 
     11.748976      12.022644       0.005103       0.004716 
     12.022644      12.302688       0.005181       0.004680 
     12.302688      12.589254       0.005186       0.004678 
     12.589254      12.882496       0.005244       0.004652 
     12.882496      13.182567       0.005320       0.004619 
     13.182567      13.489629       0.005357       0.004603 
     13.489629      13.803843       0.005371       0.004597 
     13.803843      14.125375       0.005438       0.004569 
     14.125375      14.454398       0.005437       0.004569 
     14.454398      14.791084       0.005495       0.004545 
     14.791084      15.135612       0.005500       0.004543 
     15.135612      15.488166       0.005512       0.004538 
     15.488166      15.848932       0.005545       0.004524 
     15.848932      16.218101       0.005583       0.004509 
     16.218101      16.595869       0.005615       0.004496 
     16.595869      16.982437       0.005695       0.004464 
     16.982437      17.378008       0.005659       0.004478 
     17.378008      17.782794       0.005669       0.004474 
     17.782794      18.197009       0.005718       0.004455 
     18.197009      18.620871       0.005694       0.004465 
     18.620871      19.054607       0.005688       0.004467 
     19.054607      19.498446       0.005738       0.004447 
     19.498446      19.952623       0.005676       0.004471 
     19.952623      20.417379       0.005632       0.004489 
     20.417379      20.892961       0.005676       0.004471 
     20.892961      21.379621       0.005593       0.004505 
     21.379621      21.877616       0.005636       0.004488 
     21.877616      22.387211       0.005661       0.004477 
     22.387211      22.908677       0.005631       0.004489 
     22.908677      23.442288       0.005628       0.004491 
     23.442288      23.988329       0.005596       0.004504 
     23.988329      24.547089       0.005606       0.004499 
     24.547089      25.118864       0.005586       0.004507 
     25.118864      25.703958       0.005583       0.004509 
     25.703958      26.302680       0.005556       0.004520 
     26.302680      26.915348       0.005480       0.004551 
     26.915348      27.542287       0.005499       0.004543 
     27.542287      28.183829       0.005536       0.004528 
     28.183829      28.840315       0.005525       0.004532 
     28.840315      29.512092       0.005492       0.004546 
     29.512092      30.199517       0.005452       0.004562 
     30.199517      30.902954       0.005430       0.004572 
     30.902954      31.622777       0.005390       0.004589 
     31.622777      32.359366       0.005410       0.004580 
     32.359366      33.113112       0.005426       0.004574 
     33.113112      33.884416       0.005340       0.004610 
     33.884416      34.673685       0.005403       0.004583 
     34.673685      35.481339       0.005337       0.004611 
     35.481339      36.307805       0.005361       0.004601 
     36.307805      37.153523       0.005351       0.004606 
     37.153523      38.018940       0.005295       0.004630 
     38.018940      38.904514       0.005351       0.004606 
     38.904514      39.810717       0.005358       0.004603 
     39.810717      40.738028       0.005324       0.004617 
     40.738028      41.686938       0.005372       0.004596 
     41.686938      42.657952       0.005389       0.004589 
     42.657952      43.651583       0.005396       0.004586 
     43.651583      44.668359       0.005363       0.004600 
     44.668359      45.708819       0.005422       0.004575 
     45.708819      46.773514       0.005381       0.004593 
     46.773514      47.863009       0.005422       0.004575 
     47.863009      48.977882       0.005445       0.004566 
     48.977882      50.118723       0.005492       0.004546 
     50.118723      51.286138       0.005532       0.004530 
     51.286138      52.480746       0.005544       0.004525 
     52.480746      53.703180       0.005579       0.004510 
     53.703180      54.954087       0.005643       0.004485 
     54.954087      56.234133       0.005654       0.004480 
     56.234133      57.543994       0.005705       0.004460 
     57.543994      58.884366       0.005767       0.004436 
     58.884366      60.255959       0.005848       0.004405 
     60.255959      61.659500       0.005873       0.004396 
     61.659500      63.095734       0.005891       0.004389 
     63.095734      64.565423       0.006031       0.004338 
     64.565423      66.069345       0.006113       0.004309 
     66.069345      67.608298       0.006142       0.004299 
     67.608298      69.183097       0.006255       0.004260 
     69.183097      70.794578       0.006307       0.004242 
     70.794578      72.443596       0.006408       0.004208 
     72.443596      74.131024       0.006533       0.004168 
     74.131024      75.857758       0.006603       0.004146 
     75.857758      77.624712       0.006730       0.004106 
     77.624712      79.432823       0.006850       0.004070 
     79.432823      81.283052       0.006945       0.004042 
     81.283052      83.176377       0.007126       0.003990 
     83.176377      85.113804       0.007258       0.003954 
     85.113804      87.096359       0.007365       0.003925 
     87.096359      89.125094       0.007483       0.003894 
     89.125094      91.201084       0.007612       0.003861 
     91.201084      93.325430       0.007805       0.003813 
     93.325430      95.499259       0.007928       0.003783 
     95.499259      97.723722       0.008196       0.003721 
     97.723722     100.000000       0.008272       0.003704 
    100.000000     102.329299       0.008406       0.003674 
    102.329299     104.712855       0.008674       0.003617 
    104.712855     107.151931       0.008872       0.003576 
    107.151931     109.647820       0.009027       0.003545 
    109.647820     112.201845       0.009209       0.003510 
    112.201845     114.815362       0.009437       0.003467 
    114.815362     117.489755       0.009586       0.003440 
    117.489755     120.226443       0.009881       0.003389 
    120.226443     123.026877       0.010034       0.003363 
    123.026877     125.892541       0.010298       0.003319 
    125.892541     128.824955       0.010428       0.003298 
    128.824955     131.825674       0.010674       0.003260 
    131.825674     134.896288       0.010868       0.003231 
    134.896288     138.038426       0.010988       0.003213 
    138.038426     141.253754       0.011177       0.003186 
    141.253754     144.543977       0.011303       0.003168 
    144.543977     147.910839       0.011404       0.003154 
    147.910839     151.356125       0.011508       0.003140 
    151.356125     154.881662       0.011589       0.003129 
    154.881662     158.489319       0.011629       0.003123 
    158.489319     162.181010       0.011548       0.003134 
    162.181010     165.958691       0.011589       0.003129 
    165.958691     169.824365       0.011486       0.003143 
    169.824365     173.780083       0.011351       0.003161 
    173.780083     177.827941       0.011122       0.003194 
    177.827941     181.970086       0.010867       0.003231 
    181.970086     186.208714       0.010610       0.003270 
    186.208714     190.546072       0.010291       0.003320 
    190.546072     194.984460       0.009874       0.003390 
    194.984460     199.526231       0.009434       0.003468 
    199.526231     204.173794       0.008999       0.003551 
    204.173794     208.929613       0.008391       0.003677 
    208.929613     213.796209       0.007910       0.003787 
    213.796209     218.776162       0.007334       0.003933 
    218.776162     223.872114       0.006813       0.004081 
    223.872114     229.086765       0.006250       0.004261 
    229.086765     234.422882       0.005681       0.004469 
    234.422882     239.883292       0.005195       0.004674 
    239.883292     245.470892       0.004699       0.004915 
    245.470892     251.188643       0.004228       0.005181 
    251.188643     257.039578       0.003803       0.005463 
    257.039578     263.026799       0.003401       0.005777 
    263.026799     269.153480       0.003071       0.006080 
    269.153480     275.422870       0.002648       0.006548 
    275.422870     281.838293       0.002405       0.006871 
    281.838293     288.403150       0.002052       0.007439 
    288.403150     295.120923       0.001785       0.007976 
    295.120923     301.995172       0.001514       0.008659 
    301.995172     309.029543       0.001301       0.009343 
    309.029543     316.227766       0.001086       0.010223 
    316.227766     323.593657   9.245136e-04       0.011082 
    323.593657     331.131121   7.290963e-04       0.012479 
    331.131121     338.844156   5.949952e-04       0.013814 
    338.844156     346.736850   4.778130e-04       0.015415 
    346.736850     354.813389   3.867469e-04       0.017134 
    354.813389     363.078055   2.913660e-04       0.019741 
    363.078055     371.535229   2.284600e-04       0.022294 
    371.535229     380.189396   1.663489e-04       0.026126 
    380.189396     389.045145   1.336468e-04       0.029148 
    389.045145     398.107171   9.197446e-05       0.035136 
    398.107171     407.380278   6.710729e-05       0.041134 
    407.380278     416.869383   4.734981e-05       0.048970 
    416.869383     426.579519   3.122590e-05       0.060302 
    426.579519     436.515832   2.180135e-05       0.072169 
    436.515832     446.683592   1.623747e-05       0.083624 
    446.683592     457.088190   9.878738e-06       0.107211 
    457.088190     467.735141   6.018082e-06       0.137361 
    467.735141     478.630092   4.996143e-06       0.150756 
    478.630092     489.778819   2.157426e-06       0.229416 
    489.778819     501.187234   1.135487e-06       0.316228 
    501.187234     512.861384   3.406461e-07       0.577350 
    512.861384     524.807460   2.270974e-07       0.707107 
    524.807460     537.031796   3.406461e-07       0.577350 
    537.031796     549.540874   1.135487e-07       1.000000 
    549.540874     562.341325   1.135487e-07       1.000000 
    562.341325     575.439937       0.000000       0.000000 
    575.439937     588.843655       0.000000       0.000000 
    588.843655     602.559586       0.000000       0.000000 
    602.559586     616.595002       0.000000       0.000000 
    616.595002     630.957344       0.000000       0.000000 
    630.957344     645.654229   1.135487e-07       1.000000 
    645.654229     660.693448       0.000000       0.000000 
    660.693448     676.082975       0.000000       0.000000 
    676.082975     691.830971       0.000000       0.000000 
    691.830971     707.945784       0.000000       0.000000 
    707.945784     724.435960       0.000000       0.000000 
    724.435960     741.310241       0.000000       0.000000 
    741.310241     758.577575       0.000000       0.000000 
    758.577575     776.247117       0.000000       0.000000 
    776.247117     794.328235       0.000000       0.000000 
    794.328235     812.830516       0.000000       0.000000 
    812.830516     831.763771       0.000000       0.000000 
    831.763771     851.138038       0.000000       0.000000 
    851.138038     870.963590       0.000000       0.000000 
    870.963590     891.250938       0.000000       0.000000 
    891.250938     912.010839       0.000000       0.000000 
    912.010839     933.254301       0.000000       0.000000 
    933.254301     954.992586       0.000000       0.000000 
    954.992586     977.237221       0.000000       0.000000 
    977.237221    1000.000000       0.000000       0.000000 
