          Format            YIELD 
            Name              n80 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   5.662412e-04       0.008266 
      1.023293       1.047129   5.626816e-04       0.008292 
      1.047129       1.071519   5.840003e-04       0.008139 
      1.071519       1.096478   5.978903e-04       0.008044 
      1.096478       1.122018   6.105809e-04       0.007960 
      1.122018       1.148154   6.283014e-04       0.007847 
      1.148154       1.174898   6.444355e-04       0.007748 
      1.174898       1.202264   6.697006e-04       0.007600 
      1.202264       1.230269   6.780965e-04       0.007553 
      1.230269       1.258925   7.029361e-04       0.007418 
      1.258925       1.288250   7.251834e-04       0.007304 
      1.288250       1.318257   7.309483e-04       0.007275 
      1.318257       1.348963   7.478175e-04       0.007192 
      1.348963       1.380384   7.724636e-04       0.007077 
      1.380384       1.412538   7.930085e-04       0.006984 
      1.412538       1.445440   8.195117e-04       0.006870 
      1.445440       1.479108   8.376191e-04       0.006796 
      1.479108       1.513561   8.529020e-04       0.006735 
      1.513561       1.548817   8.717444e-04       0.006661 
      1.548817       1.584893   8.923667e-04       0.006584 
      1.584893       1.621810   9.223908e-04       0.006476 
      1.621810       1.659587   9.465339e-04       0.006393 
      1.659587       1.698244   9.691294e-04       0.006318 
      1.698244       1.737801   9.816653e-04       0.006277 
      1.737801       1.778279       0.001009       0.006191 
      1.778279       1.819701       0.001023       0.006150 
      1.819701       1.862087       0.001064       0.006030 
      1.862087       1.905461       0.001077       0.005992 
      1.905461       1.949845       0.001092       0.005951 
      1.949845       1.995262       0.001136       0.005835 
      1.995262       2.041738       0.001163       0.005766 
      2.041738       2.089296       0.001184       0.005716 
      2.089296       2.137962       0.001227       0.005615 
      2.137962       2.187762       0.001256       0.005549 
      2.187762       2.238721       0.001272       0.005513 
      2.238721       2.290868       0.001299       0.005457 
      2.290868       2.344229       0.001330       0.005392 
      2.344229       2.398833       0.001366       0.005322 
      2.398833       2.454709       0.001409       0.005238 
      2.454709       2.511886       0.001429       0.005203 
      2.511886       2.570396       0.001455       0.005156 
      2.570396       2.630268       0.001494       0.005088 
      2.630268       2.691535       0.001542       0.005008 
      2.691535       2.754229       0.001558       0.004982 
      2.754229       2.818383       0.001600       0.004917 
      2.818383       2.884032       0.001628       0.004874 
      2.884032       2.951209       0.001663       0.004822 
      2.951209       3.019952       0.001701       0.004768 
      3.019952       3.090295       0.001743       0.004711 
      3.090295       3.162278       0.001772       0.004671 
      3.162278       3.235937       0.001815       0.004616 
      3.235937       3.311311       0.001870       0.004548 
      3.311311       3.388442       0.001905       0.004505 
      3.388442       3.467369       0.001942       0.004463 
      3.467369       3.548134       0.001976       0.004423 
      3.548134       3.630781       0.002028       0.004366 
      3.630781       3.715352       0.002064       0.004329 
      3.715352       3.801894       0.002110       0.004281 
      3.801894       3.890451       0.002141       0.004250 
      3.890451       3.981072       0.002194       0.004198 
      3.981072       4.073803       0.002245       0.004150 
      4.073803       4.168694       0.002288       0.004111 
      4.168694       4.265795       0.002335       0.004070 
      4.265795       4.365158       0.002382       0.004029 
      4.365158       4.466836       0.002432       0.003987 
      4.466836       4.570882       0.002490       0.003941 
      4.570882       4.677351       0.002531       0.003908 
      4.677351       4.786301       0.002584       0.003868 
      4.786301       4.897788       0.002620       0.003841 
      4.897788       5.011872       0.002679       0.003799 
      5.011872       5.128614       0.002715       0.003774 
      5.128614       5.248075       0.002766       0.003739 
      5.248075       5.370318       0.002836       0.003692 
      5.370318       5.495409       0.002884       0.003661 
      5.495409       5.623413       0.002932       0.003631 
      5.623413       5.754399       0.002989       0.003597 
      5.754399       5.888437       0.003039       0.003567 
      5.888437       6.025596       0.003091       0.003537 
      6.025596       6.165950       0.003153       0.003502 
      6.165950       6.309573       0.003187       0.003483 
      6.309573       6.456542       0.003259       0.003444 
      6.456542       6.606934       0.003292       0.003427 
      6.606934       6.760830       0.003373       0.003385 
      6.760830       6.918310       0.003430       0.003357 
      6.918310       7.079458       0.003454       0.003345 
      7.079458       7.244360       0.003516       0.003316 
      7.244360       7.413102       0.003589       0.003282 
      7.413102       7.585776       0.003638       0.003259 
      7.585776       7.762471       0.003659       0.003250 
      7.762471       7.943282       0.003740       0.003215 
      7.943282       8.128305       0.003790       0.003194 
      8.128305       8.317638       0.003829       0.003177 
      8.317638       8.511380       0.003886       0.003154 
      8.511380       8.709636       0.003965       0.003122 
      8.709636       8.912509       0.003978       0.003117 
      8.912509       9.120108       0.004052       0.003088 
      9.120108       9.332543       0.004099       0.003071 
      9.332543       9.549926       0.004145       0.003054 
      9.549926       9.772372       0.004159       0.003048 
      9.772372      10.000000       0.004218       0.003027 
     10.000000      10.232930       0.004257       0.003013 
     10.232930      10.471285       0.004304       0.002997 
     10.471285      10.715193       0.004374       0.002973 
     10.715193      10.964782       0.004398       0.002964 
     10.964782      11.220185       0.004413       0.002959 
     11.220185      11.481536       0.004453       0.002946 
     11.481536      11.748976       0.004479       0.002938 
     11.748976      12.022644       0.004514       0.002926 
     12.022644      12.302688       0.004544       0.002916 
     12.302688      12.589254       0.004576       0.002906 
     12.589254      12.882496       0.004594       0.002900 
     12.882496      13.182567       0.004603       0.002897 
     13.182567      13.489629       0.004628       0.002890 
     13.489629      13.803843       0.004671       0.002876 
     13.803843      14.125375       0.004678       0.002874 
     14.125375      14.454398       0.004677       0.002875 
