          Format            YIELD 
            Name              n60 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   6.012066e-04       0.009226 
      1.023293       1.047129   6.052501e-04       0.009195 
      1.047129       1.071519   6.301767e-04       0.009012 
      1.071519       1.096478   6.477328e-04       0.008889 
      1.096478       1.122018   6.537725e-04       0.008848 
      1.122018       1.148154   6.674898e-04       0.008756 
      1.148154       1.174898   7.095630e-04       0.008493 
      1.174898       1.202264   7.055194e-04       0.008517 
      1.202264       1.230269   7.274773e-04       0.008387 
      1.230269       1.258925   7.482580e-04       0.008270 
      1.258925       1.288250   7.670425e-04       0.008168 
      1.288250       1.318257   7.952960e-04       0.008022 
      1.318257       1.348963   8.040485e-04       0.007978 
      1.348963       1.380384   8.353731e-04       0.007827 
      1.380384       1.412538   8.492951e-04       0.007763 
      1.412538       1.445440   8.654180e-04       0.007690 
      1.445440       1.479108   8.922384e-04       0.007573 
      1.479108       1.513561   9.223346e-04       0.007449 
      1.513561       1.548817   9.245355e-04       0.007440 
      1.548817       1.584893   9.571908e-04       0.007312 
      1.584893       1.621810   9.862121e-04       0.007203 
      1.621810       1.659587       0.001014       0.007106 
      1.659587       1.698244       0.001030       0.007047 
      1.698244       1.737801       0.001047       0.006992 
      1.737801       1.778279       0.001084       0.006870 
      1.778279       1.819701       0.001127       0.006737 
      1.819701       1.862087       0.001141       0.006696 
      1.862087       1.905461       0.001151       0.006667 
      1.905461       1.949845       0.001196       0.006540 
      1.949845       1.995262       0.001211       0.006500 
      1.995262       2.041738       0.001249       0.006400 
      2.041738       2.089296       0.001283       0.006316 
      2.089296       2.137962       0.001314       0.006241 
      2.137962       2.187762       0.001322       0.006221 
      2.187762       2.238721       0.001375       0.006101 
      2.238721       2.290868       0.001401       0.006044 
      2.290868       2.344229       0.001436       0.005969 
      2.344229       2.398833       0.001471       0.005898 
      2.398833       2.454709       0.001497       0.005847 
      2.454709       2.511886       0.001513       0.005816 
      2.511886       2.570396       0.001573       0.005703 
      2.570396       2.630268       0.001607       0.005642 
      2.630268       2.691535       0.001636       0.005593 
      2.691535       2.754229       0.001680       0.005519 
      2.754229       2.818383       0.001717       0.005460 
      2.818383       2.884032       0.001763       0.005387 
      2.884032       2.951209       0.001796       0.005338 
      2.951209       3.019952       0.001825       0.005295 
      3.019952       3.090295       0.001882       0.005214 
      3.090295       3.162278       0.001915       0.005169 
      3.162278       3.235937       0.001952       0.005120 
      3.235937       3.311311       0.002005       0.005052 
      3.311311       3.388442       0.002043       0.005004 
