          Format            YIELD 
            Name               n5 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   5.732013e-04       0.035511 
      1.023293       1.047129   5.732013e-04       0.035511 
      1.047129       1.071519   5.999459e-04       0.034710 
      1.071519       1.096478   6.310274e-04       0.033845 
      1.096478       1.122018   6.490981e-04       0.033370 
      1.122018       1.148154   6.201850e-04       0.034139 
      1.148154       1.174898   6.700600e-04       0.032844 
      1.174898       1.202264   6.852394e-04       0.032478 
      1.202264       1.230269   7.047557e-04       0.032025 
      1.230269       1.258925   6.729513e-04       0.032774 
      1.258925       1.288250   7.589677e-04       0.030861 
      1.288250       1.318257   7.647503e-04       0.030744 
      1.318257       1.348963   7.531850e-04       0.030979 
      1.348963       1.380384   8.717286e-04       0.028795 
      1.380384       1.412538   7.987231e-04       0.030083 
      1.412538       1.445440   8.348644e-04       0.029424 
      1.445440       1.479108   8.796797e-04       0.028665 
      1.479108       1.513561   8.825710e-04       0.028618 
      1.513561       1.548817   9.288318e-04       0.027896 
      1.548817       1.584893   9.432884e-04       0.027682 
      1.584893       1.621810   8.970275e-04       0.028386 
      1.621810       1.659587       0.001025       0.026556 
      1.659587       1.698244       0.001018       0.026650 
      1.698244       1.737801       0.001076       0.025924 
      1.737801       1.778279       0.001058       0.026135 
      1.778279       1.819701       0.001133       0.025262 
      1.819701       1.862087       0.001138       0.025197 
      1.862087       1.905461       0.001153       0.025039 
      1.905461       1.949845       0.001190       0.024648 
      1.949845       1.995262       0.001197       0.024573 
      1.995262       2.041738       0.001208       0.024463 
      2.041738       2.089296       0.001206       0.024485 
      2.089296       2.137962       0.001297       0.023603 
      2.137962       2.187762       0.001332       0.023293 
      2.187762       2.238721       0.001323       0.023370 
      2.238721       2.290868       0.001365       0.023008 
      2.290868       2.344229       0.001371       0.022959 
      2.344229       2.398833       0.001473       0.022151 
      2.398833       2.454709       0.001459       0.022261 
      2.454709       2.511886       0.001498       0.021963 
      2.511886       2.570396       0.001519       0.021816 
      2.570396       2.630268       0.001499       0.021958 
      2.630268       2.691535       0.001574       0.021432 
      2.691535       2.754229       0.001634       0.021030 
      2.754229       2.818383       0.001670       0.020806 
      2.818383       2.884032       0.001748       0.020336 
      2.884032       2.951209       0.001816       0.019952 
      2.951209       3.019952       0.001781       0.020145 
      3.019952       3.090295       0.001937       0.019316 
      3.090295       3.162278       0.001821       0.019924 
      3.162278       3.235937       0.001904       0.019484 
      3.235937       3.311311       0.001960       0.019202 
      3.311311       3.388442       0.002039       0.018827 
      3.388442       3.467369       0.002041       0.018821 
      3.467369       3.548134       0.002107       0.018521 
      3.548134       3.630781       0.002104       0.018534 
      3.630781       3.715352       0.002197       0.018137 
      3.715352       3.801894       0.002288       0.017775 
      3.801894       3.890451       0.002297       0.017738 
      3.890451       3.981072       0.002346       0.017552 
      3.981072       4.073803       0.002395       0.017371 
      4.073803       4.168694       0.002440       0.017213 
      4.168694       4.265795       0.002481       0.017069 
      4.265795       4.365158       0.002597       0.016683 
      4.365158       4.466836       0.002607       0.016652 
      4.466836       4.570882       0.002656       0.016495 
      4.570882       4.677351       0.002724       0.016288 
      4.677351       4.786301       0.002750       0.016211 
      4.786301       4.897788       0.002810       0.016037 
      4.897788       5.011872       0.002844       0.015943 
      5.011872       5.128614       0.002979       0.015575 
      5.128614       5.248075       0.003063       0.015361 
      5.248075       5.370318       0.003080       0.015319 
      5.370318       5.495409       0.003076       0.015330 
      5.495409       5.623413       0.003227       0.014967 
      5.623413       5.754399       0.003183       0.015070 
      5.754399       5.888437       0.003311       0.014776 
      5.888437       6.025596       0.003363       0.014661 
      6.025596       6.165950       0.003431       0.014515 
      6.165950       6.309573       0.003559       0.014251 
      6.309573       6.456542       0.003611       0.014149 
      6.456542       6.606934       0.003629       0.014114 
      6.606934       6.760830       0.003719       0.013941 
      6.760830       6.918310       0.003763       0.013859 
      6.918310       7.079458       0.003754       0.013876 
      7.079458       7.244360       0.003885       0.013640 
      7.244360       7.413102       0.004030       0.013393 
      7.413102       7.585776       0.004045       0.013367 
      7.585776       7.762471       0.004050       0.013359 
      7.762471       7.943282       0.004148       0.013201 
      7.943282       8.128305       0.004220       0.013087 
      8.128305       8.317638       0.004297       0.012969 
      8.317638       8.511380       0.004351       0.012889 
      8.511380       8.709636       0.004404       0.012811 
      8.709636       8.912509       0.004458       0.012734 
      8.912509       9.120108       0.004453       0.012740 
