          Format            YIELD 
            Name              n40 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   6.175003e-04       0.011285 
      1.023293       1.047129   6.297686e-04       0.011174 
      1.047129       1.071519   6.718423e-04       0.010819 
      1.071519       1.096478   6.700335e-04       0.010833 
      1.096478       1.122018   7.048721e-04       0.010562 
      1.122018       1.148154   7.131295e-04       0.010501 
      1.148154       1.174898   7.373514e-04       0.010327 
      1.174898       1.202264   7.381378e-04       0.010321 
      1.202264       1.230269   7.848514e-04       0.010010 
      1.230269       1.258925   7.902778e-04       0.009975 
      1.258925       1.288250   8.219707e-04       0.009781 
      1.288250       1.318257   8.255882e-04       0.009759 
      1.318257       1.348963   8.567306e-04       0.009580 
      1.348963       1.380384   8.838622e-04       0.009432 
      1.380384       1.412538   9.072190e-04       0.009310 
      1.412538       1.445440   9.376537e-04       0.009158 
      1.445440       1.479108   9.393052e-04       0.009150 
      1.479108       1.513561   9.866479e-04       0.008927 
      1.513561       1.548817   9.833449e-04       0.008942 
      1.548817       1.584893       0.001026       0.008754 
      1.584893       1.621810       0.001030       0.008736 
      1.621810       1.659587       0.001074       0.008555 
      1.659587       1.698244       0.001096       0.008472 
      1.698244       1.737801       0.001143       0.008295 
      1.737801       1.778279       0.001165       0.008216 
      1.778279       1.819701       0.001183       0.008152 
      1.819701       1.862087       0.001203       0.008085 
      1.862087       1.905461       0.001238       0.007968 
      1.905461       1.949845       0.001267       0.007878 
      1.949845       1.995262       0.001314       0.007735 
      1.995262       2.041738       0.001332       0.007684 
      2.041738       2.089296       0.001372       0.007571 
      2.089296       2.137962       0.001381       0.007546 
      2.137962       2.187762       0.001432       0.007411 
      2.187762       2.238721       0.001455       0.007352 
      2.238721       2.290868       0.001496       0.007249 
      2.290868       2.344229       0.001538       0.007151 
      2.344229       2.398833       0.001578       0.007058 
      2.398833       2.454709       0.001588       0.007037 
      2.454709       2.511886       0.001631       0.006944 
      2.511886       2.570396       0.001668       0.006866 
      2.570396       2.630268       0.001695       0.006812 
      2.630268       2.691535       0.001737       0.006727 
      2.691535       2.754229       0.001773       0.006659 
      2.754229       2.818383       0.001816       0.006579 
      2.818383       2.884032       0.001856       0.006509 
      2.884032       2.951209       0.001911       0.006414 
      2.951209       3.019952       0.001954       0.006343 
      3.019952       3.090295       0.001958       0.006337 
      3.090295       3.162278       0.002005       0.006262 
      3.162278       3.235937       0.002054       0.006187 
      3.235937       3.311311       0.002120       0.006090 
      3.311311       3.388442       0.002169       0.006021 
      3.388442       3.467369       0.002209       0.005965 
      3.467369       3.548134       0.002277       0.005877 
      3.548134       3.630781       0.002306       0.005840 
      3.630781       3.715352       0.002348       0.005787 
