          Format            YIELD 
            Name              n30 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   6.455244e-04       0.013262 
      1.023293       1.047129   6.485902e-04       0.013231 
      1.047129       1.071519   6.762961e-04       0.012957 
      1.071519       1.096478   7.041156e-04       0.012699 
      1.096478       1.122018   7.029801e-04       0.012709 
      1.122018       1.148154   7.150162e-04       0.012601 
      1.148154       1.174898   7.521467e-04       0.012286 
      1.174898       1.202264   7.682706e-04       0.012157 
      1.202264       1.230269   8.016539e-04       0.011901 
      1.230269       1.258925   8.009726e-04       0.011906 
      1.258925       1.288250   8.353779e-04       0.011658 
      1.288250       1.318257   8.543405e-04       0.011528 
      1.318257       1.348963   8.723947e-04       0.011408 
      1.348963       1.380384   8.988516e-04       0.011239 
      1.380384       1.412538   9.198581e-04       0.011110 
      1.412538       1.445440   9.571021e-04       0.010892 
      1.445440       1.479108   9.563072e-04       0.010896 
      1.479108       1.513561   9.990016e-04       0.010661 
      1.513561       1.548817       0.001025       0.010524 
      1.548817       1.584893       0.001042       0.010439 
      1.584893       1.621810       0.001063       0.010334 
      1.621810       1.659587       0.001106       0.010134 
      1.659587       1.698244       0.001123       0.010054 
      1.698244       1.737801       0.001150       0.009936 
      1.737801       1.778279       0.001164       0.009877 
      1.778279       1.819701       0.001202       0.009721 
      1.819701       1.862087       0.001253       0.009518 
      1.862087       1.905461       0.001260       0.009493 
      1.905461       1.949845       0.001298       0.009351 
      1.949845       1.995262       0.001337       0.009216 
      1.995262       2.041738       0.001372       0.009096 
      2.041738       2.089296       0.001390       0.009039 
      2.089296       2.137962       0.001414       0.008959 
      2.137962       2.187762       0.001452       0.008841 
      2.187762       2.238721       0.001483       0.008749 
      2.238721       2.290868       0.001551       0.008556 
      2.290868       2.344229       0.001557       0.008541 
      2.344229       2.398833       0.001589       0.008453 
      2.398833       2.454709       0.001643       0.008313 
      2.454709       2.511886       0.001667       0.008254 
      2.511886       2.570396       0.001730       0.008101 
      2.570396       2.630268       0.001730       0.008101 
      2.630268       2.691535       0.001767       0.008016 
      2.691535       2.754229       0.001814       0.007911 
      2.754229       2.818383       0.001852       0.007829 
      2.818383       2.884032       0.001898       0.007734 
      2.884032       2.951209       0.001964       0.007602 
      2.951209       3.019952       0.002016       0.007505 
      3.019952       3.090295       0.002052       0.007438 
      3.090295       3.162278       0.002082       0.007384 
      3.162278       3.235937       0.002126       0.007307 
      3.235937       3.311311       0.002187       0.007204 
      3.311311       3.388442       0.002213       0.007163 
      3.388442       3.467369       0.002273       0.007067 
      3.467369       3.548134       0.002308       0.007013 
      3.548134       3.630781       0.002362       0.006932 
      3.630781       3.715352       0.002436       0.006826 
      3.715352       3.801894       0.002465       0.006787 
      3.801894       3.890451       0.002506       0.006730 
      3.890451       3.981072       0.002556       0.006664 
      3.981072       4.073803       0.002578       0.006635 
      4.073803       4.168694       0.002676       0.006513 
      4.168694       4.265795       0.002729       0.006449 
      4.265795       4.365158       0.002778       0.006393 
      4.365158       4.466836       0.002826       0.006338 
      4.466836       4.570882       0.002872       0.006287 
      4.570882       4.677351       0.002951       0.006203 
      4.677351       4.786301       0.003005       0.006146 
      4.786301       4.897788       0.003060       0.006090 
      4.897788       5.011872       0.003098       0.006053 
      5.011872       5.128614       0.003161       0.005992 
      5.128614       5.248075       0.003240       0.005919 
      5.248075       5.370318       0.003309       0.005857 
      5.370318       5.495409       0.003370       0.005803 
      5.495409       5.623413       0.003420       0.005761 
      5.623413       5.754399       0.003465       0.005724 
      5.754399       5.888437       0.003527       0.005673 
      5.888437       6.025596       0.003610       0.005608 
      6.025596       6.165950       0.003712       0.005530 
      6.165950       6.309573       0.003736       0.005512 
      6.309573       6.456542       0.003808       0.005460 
      6.456542       6.606934       0.003840       0.005437 
      6.606934       6.760830       0.003926       0.005377 
      6.760830       6.918310       0.003977       0.005342 
      6.918310       7.079458       0.004069       0.005282 
      7.079458       7.244360       0.004150       0.005230 
      7.244360       7.413102       0.004188       0.005206 
      7.413102       7.585776       0.004280       0.005150 
      7.585776       7.762471       0.004335       0.005117 
      7.762471       7.943282       0.004414       0.005071 
      7.943282       8.128305       0.004465       0.005042 
      8.128305       8.317638       0.004541       0.005000 
      8.317638       8.511380       0.004611       0.004961 
      8.511380       8.709636       0.004679       0.004925 
      8.709636       8.912509       0.004765       0.004881 
      8.912509       9.120108       0.004819       0.004853 
      9.120108       9.332543       0.004889       0.004818 
      9.332543       9.549926       0.004919       0.004803 
      9.549926       9.772372       0.005013       0.004758 
      9.772372      10.000000       0.005069       0.004732 
     10.000000      10.232930       0.005123       0.004707 
     10.232930      10.471285       0.005157       0.004691 
     10.471285      10.715193       0.005233       0.004657 
     10.715193      10.964782       0.005330       0.004614 
     10.964782      11.220185       0.005361       0.004601 
     11.220185      11.481536       0.005420       0.004576 
     11.481536      11.748976       0.005478       0.004552 
     11.748976      12.022644       0.005496       0.004544 
     12.022644      12.302688       0.005585       0.004508 
     12.302688      12.589254       0.005638       0.004487 
     12.589254      12.882496       0.005697       0.004463 
     12.882496      13.182567       0.005757       0.004440 
     13.182567      13.489629       0.005753       0.004441 
     13.489629      13.803843       0.005791       0.004427 
