          Format            YIELD 
            Name              a15 
            Unit        #/sr/hist 
            Part      Generic Ion 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   2.557962e-04       0.015104 
      1.023293       1.047129   2.580139e-04       0.015039 
      1.047129       1.071519   2.569050e-04       0.015072 
      1.071519       1.096478   2.528781e-04       0.015191 
      1.096478       1.122018   2.592978e-04       0.015002 
      1.122018       1.148154   2.521194e-04       0.015214 
      1.148154       1.174898   2.509522e-04       0.015250 
      1.174898       1.202264   2.532867e-04       0.015179 
      1.202264       1.230269   2.550959e-04       0.015125 
      1.230269       1.258925   2.572552e-04       0.015062 
      1.258925       1.288250   2.490847e-04       0.015307 
      1.288250       1.318257   2.584224e-04       0.015027 
      1.318257       1.348963   2.562047e-04       0.015092 
      1.348963       1.380384   2.536368e-04       0.015169 
      1.380384       1.412538   2.537536e-04       0.015165 
      1.412538       1.445440   2.566716e-04       0.015079 
      1.445440       1.479108   2.448827e-04       0.015437 
      1.479108       1.513561   2.492598e-04       0.015301 
      1.513561       1.548817   2.491430e-04       0.015305 
      1.548817       1.584893   2.473338e-04       0.015361 
      1.584893       1.621810   2.508355e-04       0.015253 
      1.621810       1.659587   2.493765e-04       0.015298 
      1.659587       1.698244   2.480925e-04       0.015337 
      1.698244       1.737801   2.390466e-04       0.015625 
      1.737801       1.778279   2.444158e-04       0.015452 
      1.778279       1.819701   2.371207e-04       0.015688 
      1.819701       1.862087   2.411476e-04       0.015556 
      1.862087       1.905461   2.350780e-04       0.015756 
      1.905461       1.949845   2.406223e-04       0.015573 
      1.949845       1.995262   2.409725e-04       0.015562 
      1.995262       2.041738   2.436571e-04       0.015476 
      2.041738       2.089296   2.454079e-04       0.015421 
      2.089296       2.137962   2.342610e-04       0.015783 
      2.137962       2.187762   2.370040e-04       0.015692 
      2.187762       2.238721   2.298255e-04       0.015935 
      2.238721       2.290868   2.305259e-04       0.015911 
      2.290868       2.344229   2.393968e-04       0.015613 
      2.344229       2.398833   2.336190e-04       0.015805 
      2.398833       2.454709   2.349613e-04       0.015760 
      2.454709       2.511886   2.347862e-04       0.015766 
      2.511886       2.570396   2.335607e-04       0.015807 
      2.570396       2.630268   2.323351e-04       0.015849 
      2.630268       2.691535   2.350197e-04       0.015758 
      2.691535       2.754229   2.364203e-04       0.015711 
      2.754229       2.818383   2.290669e-04       0.015961 
      2.818383       2.884032   2.339692e-04       0.015793 
      2.884032       2.951209   2.284249e-04       0.015984 
      2.951209       3.019952   2.297088e-04       0.015939 
      3.019952       3.090295   2.245147e-04       0.016122 
      3.090295       3.162278   2.208963e-04       0.016254 
      3.162278       3.235937   2.254485e-04       0.016089 
      3.235937       3.311311   2.332688e-04       0.015817 
      3.311311       3.388442   2.320433e-04       0.015859 
      3.388442       3.467369   2.212465e-04       0.016241 
      3.467369       3.548134   2.194373e-04       0.016308 
      3.548134       3.630781   2.259154e-04       0.016072 
      3.630781       3.715352   2.213048e-04       0.016239 
      3.715352       3.801894   2.133094e-04       0.016540 
      3.801894       3.890451   2.172196e-04       0.016391 
      3.890451       3.981072   2.129592e-04       0.016554 
      3.981072       4.073803   2.070064e-04       0.016790 
      4.073803       4.168694   2.160524e-04       0.016435 
      4.168694       4.265795   2.112668e-04       0.016620 
      4.265795       4.365158   1.991860e-04       0.017117 
      4.365158       4.466836   2.035631e-04       0.016932 
      4.466836       4.570882   1.924162e-04       0.017415 
      4.570882       4.677351   1.942837e-04       0.017331 
      4.677351       4.786301   1.906653e-04       0.017495 
      4.786301       4.897788   1.790515e-04       0.018054 
      4.897788       5.011872   1.796351e-04       0.018024 
      5.011872       5.128614   1.741492e-04       0.018306 
      5.128614       5.248075   1.766587e-04       0.018176 
      5.248075       5.370318   1.642862e-04       0.018848 
      5.370318       5.495409   1.618934e-04       0.018986 
      5.495409       5.623413   1.575163e-04       0.019248 
      5.623413       5.754399   1.453188e-04       0.020040 
      5.754399       5.888437   1.523805e-04       0.019570 
      5.888437       6.025596   1.397162e-04       0.020438 
      6.025596       6.165950   1.367981e-04       0.020655 
      6.165950       6.309573   1.290361e-04       0.021267 
      6.309573       6.456542   1.223246e-04       0.021842 
      6.456542       6.606934   1.189980e-04       0.022146 
      6.606934       6.760830   1.167803e-04       0.022355 
      6.760830       6.918310   1.086098e-04       0.023180 
      6.918310       7.079458   1.096603e-04       0.023069 
      7.079458       7.244360   9.699595e-05       0.024529 
      7.244360       7.413102   9.308577e-05       0.025039 
      7.413102       7.585776   9.577037e-05       0.024686 
      7.585776       7.762471   8.520703e-05       0.026171 
      7.762471       7.943282   7.977946e-05       0.027047 
      7.943282       8.128305   7.446861e-05       0.027994 
      8.128305       8.317638   7.184237e-05       0.028502 
      8.317638       8.511380   7.009154e-05       0.028855 
      8.511380       8.709636   6.723185e-05       0.029463 
      8.709636       8.912509   6.221281e-05       0.030628 
      8.912509       9.120108   5.590982e-05       0.032308 
      9.120108       9.332543   5.427571e-05       0.032791 
      9.332543       9.549926   4.878978e-05       0.034586 
      9.549926       9.772372   4.890650e-05       0.034544 
      9.772372      10.000000   4.476287e-05       0.036108 
     10.000000      10.232930   3.974383e-05       0.038320 
     10.232930      10.471285   3.962711e-05       0.038376 
     10.471285      10.715193   3.758447e-05       0.039405 
     10.715193      10.964782   3.495823e-05       0.040859 
     10.964782      11.220185   3.291559e-05       0.042107 
     11.220185      11.481536   3.093132e-05       0.043437 
     11.481536      11.748976   2.556211e-05       0.047782 
     11.748976      12.022644   2.620408e-05       0.047193 
     12.022644      12.302688   2.346112e-05       0.049875 
     12.302688      12.589254   2.427817e-05       0.049029 
     12.589254      12.882496   2.136012e-05       0.052271 
     12.882496      13.182567   2.065979e-05       0.053149 
     13.182567      13.489629   2.083487e-05       0.052926 
     13.489629      13.803843   1.902568e-05       0.055385 
     13.803843      14.125375   1.669124e-05       0.059131 
     14.125375      14.454398   1.727485e-05       0.058124 
     14.454398      14.791084   1.488205e-05       0.062622 
     14.791084      15.135612   1.283942e-05       0.067420 
     15.135612      15.488166   1.371483e-05       0.065233 
     15.488166      15.848932   1.324794e-05       0.066372 
     15.848932      16.218101   1.196400e-05       0.069843 
     16.218101      16.595869   1.260597e-05       0.068041 
     16.595869      16.982437   9.454479e-06       0.078567 
     16.982437      17.378008   9.396118e-06       0.078811 
     17.378008      17.782794   9.162674e-06       0.079809 
     17.782794      18.197009   8.170538e-06       0.084515 
     18.197009      18.620871   8.929230e-06       0.080845 
     18.620871      19.054607   7.411845e-06       0.088736 
     19.054607      19.498446   7.820372e-06       0.086387 
     19.498446      19.952623   8.112177e-06       0.084819 
     19.952623      20.417379   7.470206e-06       0.088388 
     20.417379      20.892961   6.127903e-06       0.097590 
     20.892961      21.379621   6.302986e-06       0.096225 
     21.379621      21.877616   6.011181e-06       0.098533 
     21.877616      22.387211   5.194127e-06       0.106000 
     22.387211      22.908677   7.178401e-06       0.090167 
     22.908677      23.442288   5.077405e-06       0.107211 
     23.442288      23.988329   5.310849e-06       0.104828 
     23.988329      24.547089   4.610518e-06       0.112509 
     24.547089      25.118864   4.785601e-06       0.110431 
     25.118864      25.703958   4.960684e-06       0.108465 
     25.703958      26.302680   4.377074e-06       0.115470 
     26.302680      26.915348   4.785601e-06       0.110431 
     26.915348      27.542287   3.443298e-06       0.130189 
     27.542287      28.183829   4.260352e-06       0.117041 
     28.183829      28.840315   3.735103e-06       0.125000 
     28.840315      29.512092   4.610518e-06       0.112509 
     29.512092      30.199517   3.560020e-06       0.128037 
     30.199517      30.902954   3.793464e-06       0.124035 
     30.902954      31.622777   3.034771e-06       0.138675 
     31.622777      32.359366   3.910186e-06       0.122169 
     32.359366      33.113112   3.268215e-06       0.133631 
     33.113112      33.884416   2.567883e-06       0.150756 
     33.884416      34.673685   3.326576e-06       0.132453 
     34.673685      35.481339   3.093132e-06       0.137361 
     35.481339      36.307805   2.392800e-06       0.156174 
     36.307805      37.153523   3.443298e-06       0.130189 
     37.153523      38.018940   2.684605e-06       0.147442 
     38.018940      38.904514   2.334439e-06       0.158114 
     38.904514      39.810717   2.684605e-06       0.147442 
     39.810717      40.738028   2.684605e-06       0.147442 
     40.738028      41.686938   2.684605e-06       0.147442 
     41.686938      42.657952   2.509522e-06       0.152499 
     42.657952      43.651583   2.334439e-06       0.158114 
     43.651583      44.668359   2.742966e-06       0.145865 
     44.668359      45.708819   2.626244e-06       0.149071 
     45.708819      46.773514   2.392800e-06       0.156174 
     46.773514      47.863009   2.276078e-06       0.160128 
     47.863009      48.977882   2.918049e-06       0.141421 
     48.977882      50.118723   2.392800e-06       0.156174 
