          Format            YIELD 
            Name              n60 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   1.576607e-04       0.016263 
      1.023293       1.047129   1.632482e-04       0.015982 
      1.047129       1.071519   1.667509e-04       0.015813 
      1.071519       1.096478   1.712960e-04       0.015602 
      1.096478       1.122018   1.737562e-04       0.015491 
      1.122018       1.148154   1.877667e-04       0.014902 
      1.148154       1.174898   1.856818e-04       0.014985 
      1.174898       1.202264   1.914362e-04       0.014758 
      1.202264       1.230269   1.987334e-04       0.014485 
      1.230269       1.258925   2.027781e-04       0.014340 
      1.258925       1.288250   2.104088e-04       0.014077 
      1.288250       1.318257   2.189153e-04       0.013801 
      1.318257       1.348963   2.253785e-04       0.013602 
      1.348963       1.380384   2.306324e-04       0.013446 
      1.380384       1.412538   2.392639e-04       0.013201 
      1.412538       1.445440   2.395975e-04       0.013192 
      1.445440       1.479108   2.568606e-04       0.012741 
      1.479108       1.513561   2.658257e-04       0.012524 
      1.513561       1.548817   2.631987e-04       0.012586 
      1.548817       1.584893   2.785853e-04       0.012234 
      1.584893       1.621810   2.862995e-04       0.012068 
      1.621810       1.659587   2.963904e-04       0.011861 
      1.659587       1.698244   3.002683e-04       0.011784 
      1.698244       1.737801   3.163638e-04       0.011480 
      1.737801       1.778279   3.206170e-04       0.011404 
      1.778279       1.819701   3.262463e-04       0.011305 
      1.819701       1.862087   3.358368e-04       0.011142 
      1.862087       1.905461   3.472621e-04       0.010958 
      1.905461       1.949845   3.565608e-04       0.010814 
      1.949845       1.995262   3.641499e-04       0.010700 
      1.995262       2.041738   3.828307e-04       0.010436 
      2.041738       2.089296   3.871256e-04       0.010378 
      2.089296       2.137962   3.992180e-04       0.010220 
      2.137962       2.187762   4.137290e-04       0.010039 
      2.187762       2.238721   4.179405e-04       0.009988 
      2.238721       2.290868   4.332437e-04       0.009810 
      2.290868       2.344229   4.459199e-04       0.009670 
      2.344229       2.398833   4.532588e-04       0.009591 
      2.398833       2.454709   4.599305e-04       0.009521 
      2.454709       2.511886   4.797788e-04       0.009322 
      2.511886       2.570396   4.848243e-04       0.009273 
      2.570396       2.630268   4.979175e-04       0.009151 
      2.630268       2.691535   5.198091e-04       0.008956 
      2.691535       2.754229   5.254800e-04       0.008907 
      2.754229       2.818383   5.388651e-04       0.008796 
      2.818383       2.884032   5.454117e-04       0.008743 
      2.884032       2.951209   5.678453e-04       0.008569 
      2.951209       3.019952   5.708893e-04       0.008546 
      3.019952       3.090295   5.813138e-04       0.008469 
      3.090295       3.162278   6.090848e-04       0.008273 
      3.162278       3.235937   6.243046e-04       0.008172 
      3.235937       3.311311   6.264312e-04       0.008158 
      3.311311       3.388442   6.498239e-04       0.008010 
      3.388442       3.467369   6.639178e-04       0.007924 
      3.467369       3.548134   6.823484e-04       0.007817 
      3.548134       3.630781   6.922309e-04       0.007761 
      3.630781       3.715352   6.998616e-04       0.007718 
      3.715352       3.801894   7.305515e-04       0.007554 
      3.801894       3.890451   7.356803e-04       0.007528 
      3.890451       3.981072   7.452292e-04       0.007480 
      3.981072       4.073803   7.751268e-04       0.007334 
      4.073803       4.168694   7.805058e-04       0.007309 
      4.168694       4.265795   7.998538e-04       0.007220 
      4.265795       4.365158   8.202859e-04       0.007129 
      4.365158       4.466836   8.331706e-04       0.007074 
      4.466836       4.570882   8.522267e-04       0.006994 
      4.570882       4.677351   8.642357e-04       0.006945 
      4.677351       4.786301   8.722835e-04       0.006913 
      4.786301       4.897788   9.027648e-04       0.006796 
      4.897788       5.011872   9.061841e-04       0.006783 
      5.011872       5.128614   9.210703e-04       0.006728 
      5.128614       5.248075   9.395009e-04       0.006661 
      5.248075       5.370318   9.565971e-04       0.006602 
      5.370318       5.495409   9.693567e-04       0.006558 
      5.495409       5.623413   9.957100e-04       0.006471 
      5.623413       5.754399   9.909564e-04       0.006486 
      5.754399       5.888437       0.001001       0.006454 
      5.888437       6.025596       0.001027       0.006372 
      6.025596       6.165950       0.001037       0.006340 
      6.165950       6.309573       0.001055       0.006287 
      6.309573       6.456542       0.001064       0.006260 
      6.456542       6.606934       0.001066       0.006252 
      6.606934       6.760830       0.001094       0.006173 
      6.760830       6.918310       0.001102       0.006150 
      6.918310       7.079458       0.001115       0.006115 
      7.079458       7.244360       0.001107       0.006136 
      7.244360       7.413102       0.001147       0.006028 
      7.413102       7.585776       0.001145       0.006035 
      7.585776       7.762471       0.001159       0.005998 
      7.762471       7.943282       0.001174       0.005960 
      7.943282       8.128305       0.001175       0.005956 
      8.128305       8.317638       0.001196       0.005903 
      8.317638       8.511380       0.001206       0.005880 
      8.511380       8.709636       0.001210       0.005870 
      8.709636       8.912509       0.001218       0.005849 
      8.912509       9.120108       0.001245       0.005787 
      9.120108       9.332543       0.001243       0.005790 
      9.332543       9.549926       0.001246       0.005785 
      9.549926       9.772372       0.001250       0.005775 
      9.772372      10.000000       0.001271       0.005726 
     10.000000      10.232930       0.001282       0.005703 
     10.232930      10.471285       0.001289       0.005688 
     10.471285      10.715193       0.001290       0.005684 
     10.715193      10.964782       0.001301       0.005660 
     10.964782      11.220185       0.001315       0.005630 
     11.220185      11.481536       0.001320       0.005619 
     11.481536      11.748976       0.001340       0.005577 
     11.748976      12.022644       0.001345       0.005566 
     12.022644      12.302688       0.001353       0.005551 
     12.302688      12.589254       0.001336       0.005585 
     12.589254      12.882496       0.001335       0.005588 
     12.882496      13.182567       0.001366       0.005523 
     13.182567      13.489629       0.001374       0.005509 
     13.489629      13.803843       0.001390       0.005477 
     13.803843      14.125375       0.001390       0.005476 
     14.125375      14.454398       0.001396       0.005464 
     14.454398      14.791084       0.001414       0.005429 
     14.791084      15.135612       0.001408       0.005442 
     15.135612      15.488166       0.001421       0.005416 
     15.488166      15.848932       0.001437       0.005385 
     15.848932      16.218101       0.001447       0.005367 
     16.218101      16.595869       0.001474       0.005318 
     16.595869      16.982437       0.001478       0.005311 
     16.982437      17.378008       0.001474       0.005319 
     17.378008      17.782794       0.001498       0.005275 
     17.782794      18.197009       0.001506       0.005261 
     18.197009      18.620871       0.001527       0.005225 
     18.620871      19.054607       0.001531       0.005218 
     19.054607      19.498446       0.001548       0.005189 
     19.498446      19.952623       0.001562       0.005165 
     19.952623      20.417379       0.001575       0.005145 
     20.417379      20.892961       0.001585       0.005128 
     20.892961      21.379621       0.001603       0.005100 
     21.379621      21.877616       0.001624       0.005066 
     21.877616      22.387211       0.001642       0.005039 
     22.387211      22.908677       0.001664       0.005006 
     22.908677      23.442288       0.001683       0.004976 
     23.442288      23.988329       0.001690       0.004966 
     23.988329      24.547089       0.001709       0.004939 
     24.547089      25.118864       0.001730       0.004909 
     25.118864      25.703958       0.001757       0.004870 
     25.703958      26.302680       0.001780       0.004840 
     26.302680      26.915348       0.001779       0.004841 
     26.915348      27.542287       0.001798       0.004815 
     27.542287      28.183829       0.001825       0.004779 
     28.183829      28.840315       0.001855       0.004740 
