          Format            YIELD 
            Name              n45 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   1.607050e-04       0.019555 
      1.023293       1.047129   1.618726e-04       0.019484 
      1.047129       1.071519   1.776665e-04       0.018598 
      1.071519       1.096478   1.778509e-04       0.018589 
      1.096478       1.122018   1.825215e-04       0.018349 
      1.122018       1.148154   1.870692e-04       0.018125 
      1.148154       1.174898   1.987456e-04       0.017584 
      1.174898       1.202264   2.022486e-04       0.017431 
      1.202264       1.230269   2.072264e-04       0.017221 
      1.230269       1.258925   2.192102e-04       0.016743 
      1.258925       1.288250   2.239422e-04       0.016565 
      1.288250       1.318257   2.228975e-04       0.016604 
      1.318257       1.348963   2.355572e-04       0.016152 
      1.348963       1.380384   2.461889e-04       0.015799 
      1.380384       1.412538   2.549770e-04       0.015525 
      1.412538       1.445440   2.584185e-04       0.015421 
      1.445440       1.479108   2.655473e-04       0.015212 
      1.479108       1.513561   2.718771e-04       0.015034 
      1.513561       1.548817   2.839223e-04       0.014712 
      1.548817       1.584893   2.936322e-04       0.014467 
      1.584893       1.621810   2.936937e-04       0.014465 
      1.621810       1.659587   3.065992e-04       0.014157 
      1.659587       1.698244   3.266950e-04       0.013715 
      1.698244       1.737801   3.284772e-04       0.013678 
      1.737801       1.778279   3.384944e-04       0.013474 
      1.778279       1.819701   3.503552e-04       0.013244 
      1.819701       1.862087   3.579142e-04       0.013103 
      1.862087       1.905461   3.668252e-04       0.012943 
      1.905461       1.949845   3.657190e-04       0.012963 
      1.949845       1.995262   3.890719e-04       0.012568 
      1.995262       2.041738   4.001953e-04       0.012392 
      2.041738       2.089296   4.120561e-04       0.012212 
      2.089296       2.137962   4.271740e-04       0.011994 
      2.137962       2.187762   4.336883e-04       0.011904 
      2.187762       2.238721   4.447502e-04       0.011755 
      2.238721       2.290868   4.556277e-04       0.011613 
      2.290868       2.344229   4.745559e-04       0.011379 
      2.344229       2.398833   4.835283e-04       0.011273 
      2.398833       2.454709   5.023336e-04       0.011060 
      2.454709       2.511886   5.124122e-04       0.010951 
      2.511886       2.570396   5.214461e-04       0.010856 
      2.570396       2.630268   5.357651e-04       0.010710 
      2.630268       2.691535   5.527267e-04       0.010544 
      2.691535       2.754229   5.581347e-04       0.010493 
      2.754229       2.818383   5.717163e-04       0.010367 
      2.818383       2.884032   5.872644e-04       0.010229 
      2.884032       2.951209   6.009689e-04       0.010112 
      2.951209       3.019952   6.188523e-04       0.009965 
      3.019952       3.090295   6.338474e-04       0.009846 
      3.090295       3.162278   6.511162e-04       0.009715 
      3.162278       3.235937   6.511777e-04       0.009714 
      3.235937       3.311311   6.780950e-04       0.009519 
      3.311311       3.388442   6.911849e-04       0.009429 
      3.388442       3.467369   7.196386e-04       0.009241 
      3.467369       3.548134   7.321754e-04       0.009161 
      3.548134       3.630781   7.539920e-04       0.009028 
      3.630781       3.715352   7.496287e-04       0.009054 
      3.715352       3.801894   7.626571e-04       0.008976 
      3.801894       3.890451   7.826300e-04       0.008861 
      3.890451       3.981072   8.123743e-04       0.008697 
      3.981072       4.073803   8.134805e-04       0.008691 
      4.073803       4.168694   8.298275e-04       0.008605 
      4.168694       4.265795   8.648569e-04       0.008429 
      4.265795       4.365158   8.754272e-04       0.008378 
      4.365158       4.466836   8.840923e-04       0.008337 
      4.466836       4.570882   9.071994e-04       0.008230 
      4.570882       4.677351   9.228090e-04       0.008160 
      4.677351       4.786301   9.497878e-04       0.008043 
      4.786301       4.897788   9.602966e-04       0.007999 
      4.897788       5.011872   9.876441e-04       0.007888 
      5.011872       5.128614   9.992591e-04       0.007842 
      5.128614       5.248075       0.001009       0.007803 
      5.248075       5.370318       0.001025       0.007743 
      5.370318       5.495409       0.001030       0.007724 
      5.495409       5.623413       0.001067       0.007589 
      5.623413       5.754399       0.001080       0.007544 
      5.754399       5.888437       0.001092       0.007502 
      5.888437       6.025596       0.001111       0.007436 
      6.025596       6.165950       0.001125       0.007391 
      6.165950       6.309573       0.001137       0.007351 
      6.309573       6.456542       0.001141       0.007339 
      6.456542       6.606934       0.001174       0.007235 
      6.606934       6.760830       0.001194       0.007173 
      6.760830       6.918310       0.001205       0.007141 
      6.918310       7.079458       0.001209       0.007129 
      7.079458       7.244360       0.001240       0.007041 
      7.244360       7.413102       0.001235       0.007055 
      7.413102       7.585776       0.001263       0.006974 
      7.585776       7.762471       0.001257       0.006990 
      7.762471       7.943282       0.001287       0.006910 
      7.943282       8.128305       0.001298       0.006880 
      8.128305       8.317638       0.001301       0.006873 
      8.317638       8.511380       0.001334       0.006786 
      8.511380       8.709636       0.001333       0.006788 
      8.709636       8.912509       0.001354       0.006735 
      8.912509       9.120108       0.001377       0.006679 
      9.120108       9.332543       0.001372       0.006692 
      9.332543       9.549926       0.001400       0.006625 
      9.549926       9.772372       0.001402       0.006619 
      9.772372      10.000000       0.001413       0.006593 
     10.000000      10.232930       0.001423       0.006572 
     10.232930      10.471285       0.001438       0.006536 
     10.471285      10.715193       0.001438       0.006536 
     10.715193      10.964782       0.001442       0.006526 
     10.964782      11.220185       0.001459       0.006488 
     11.220185      11.481536       0.001474       0.006455 
     11.481536      11.748976       0.001488       0.006425 
     11.748976      12.022644       0.001509       0.006382 
     12.022644      12.302688       0.001517       0.006364 
     12.302688      12.589254       0.001525       0.006347 
     12.589254      12.882496       0.001536       0.006325 
     12.882496      13.182567       0.001524       0.006349 
     13.182567      13.489629       0.001536       0.006325 
     13.489629      13.803843       0.001564       0.006268 
     13.803843      14.125375       0.001572       0.006252 
     14.125375      14.454398       0.001588       0.006221 
     14.454398      14.791084       0.001602       0.006192 
     14.791084      15.135612       0.001615       0.006167 
     15.135612      15.488166       0.001626       0.006147 
     15.488166      15.848932       0.001641       0.006118 
     15.848932      16.218101       0.001664       0.006077 
     16.218101      16.595869       0.001673       0.006060 
     16.595869      16.982437       0.001678       0.006050 
     16.982437      17.378008       0.001700       0.006012 
     17.378008      17.782794       0.001712       0.005990 
     17.782794      18.197009       0.001724       0.005969 
     18.197009      18.620871       0.001736       0.005949 
     18.620871      19.054607       0.001747       0.005931 
     19.054607      19.498446       0.001793       0.005853 
     19.498446      19.952623       0.001806       0.005833 
     19.952623      20.417379       0.001826       0.005801 
     20.417379      20.892961       0.001825       0.005802 
     20.892961      21.379621       0.001868       0.005735 
     21.379621      21.877616       0.001880       0.005717 
     21.877616      22.387211       0.001922       0.005654 
     22.387211      22.908677       0.001924       0.005651 
     22.908677      23.442288       0.001920       0.005657 
     23.442288      23.988329       0.001970       0.005584 
     23.988329      24.547089       0.001996       0.005547 
     24.547089      25.118864       0.002033       0.005497 
     25.118864      25.703958       0.002042       0.005485 
     25.703958      26.302680       0.002051       0.005473 
     26.302680      26.915348       0.002100       0.005408 
     26.915348      27.542287       0.002132       0.005368 
     27.542287      28.183829       0.002136       0.005363 
     28.183829      28.840315       0.002158       0.005335 
     28.840315      29.512092       0.002203       0.005280 
     29.512092      30.199517       0.002232       0.005246 
     30.199517      30.902954       0.002255       0.005220 
     30.902954      31.622777       0.002294       0.005175 
     31.622777      32.359366       0.002322       0.005143 
     32.359366      33.113112       0.002349       0.005114 
     33.113112      33.884416       0.002387       0.005073 
     33.884416      34.673685       0.002439       0.005018 
     34.673685      35.481339       0.002483       0.004974 
     35.481339      36.307805       0.002498       0.004959 
     36.307805      37.153523       0.002514       0.004944 
     37.153523      38.018940       0.002558       0.004901 
     38.018940      38.904514       0.002631       0.004832 
     38.904514      39.810717       0.002631       0.004832 
     39.810717      40.738028       0.002695       0.004775 
     40.738028      41.686938       0.002733       0.004741 
     41.686938      42.657952       0.002762       0.004716 
     42.657952      43.651583       0.002808       0.004677 
     43.651583      44.668359       0.002847       0.004645 
     44.668359      45.708819       0.002890       0.004610 
     45.708819      46.773514       0.002916       0.004590 
     46.773514      47.863009       0.003004       0.004522 
     47.863009      48.977882       0.003023       0.004508 
     48.977882      50.118723       0.003075       0.004469 
     50.118723      51.286138       0.003139       0.004424 
     51.286138      52.480746       0.003192       0.004386 
     52.480746      53.703180       0.003250       0.004348 
     53.703180      54.954087       0.003280       0.004327 
     54.954087      56.234133       0.003360       0.004275 
     56.234133      57.543994       0.003380       0.004263 
     57.543994      58.884366       0.003467       0.004209 
     58.884366      60.255959       0.003509       0.004184 
     60.255959      61.659500       0.003570       0.004148 
     61.659500      63.095734       0.003621       0.004119 
     63.095734      64.565423       0.003705       0.004072 
     64.565423      66.069345       0.003765       0.004039 
     66.069345      67.608298       0.003838       0.004000 
     67.608298      69.183097       0.003900       0.003968 
     69.183097      70.794578       0.003968       0.003934 
     70.794578      72.443596       0.004023       0.003907 
     72.443596      74.131024       0.004096       0.003872 
     74.131024      75.857758       0.004145       0.003849 
     75.857758      77.624712       0.004246       0.003803 
     77.624712      79.432823       0.004318       0.003771 
     79.432823      81.283052       0.004381       0.003744 
     81.283052      83.176377       0.004441       0.003719 
     83.176377      85.113804       0.004522       0.003685 
     85.113804      87.096359       0.004617       0.003647 
     87.096359      89.125094       0.004660       0.003630 
     89.125094      91.201084       0.004729       0.003604 
     91.201084      93.325430       0.004830       0.003566 
     93.325430      95.499259       0.004903       0.003539 
     95.499259      97.723722       0.004968       0.003516 
     97.723722     100.000000       0.005040       0.003491 
    100.000000     102.329299       0.005090       0.003473 
    102.329299     104.712855       0.005176       0.003444 
    104.712855     107.151931       0.005218       0.003431 
    107.151931     109.647820       0.005254       0.003418 
