          Format            YIELD 
            Name              n75 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   1.474188e-04       0.015223 
      1.023293       1.047129   1.492978e-04       0.015127 
      1.047129       1.071519   1.574631e-04       0.014729 
      1.071519       1.096478   1.597521e-04       0.014624 
      1.096478       1.122018   1.632710e-04       0.014465 
      1.122018       1.148154   1.697964e-04       0.014184 
      1.148154       1.174898   1.734519e-04       0.014034 
      1.174898       1.202264   1.804556e-04       0.013759 
      1.202264       1.230269   1.889625e-04       0.013446 
      1.230269       1.258925   1.949071e-04       0.013239 
      1.258925       1.288250   1.983919e-04       0.013122 
      1.288250       1.318257   2.010908e-04       0.013034 
      1.318257       1.348963   2.084020e-04       0.012803 
      1.348963       1.380384   2.187538e-04       0.012497 
      1.380384       1.412538   2.197104e-04       0.012469 
      1.412538       1.445440   2.284906e-04       0.012227 
      1.445440       1.479108   2.354942e-04       0.012044 
      1.479108       1.513561   2.420879e-04       0.011879 
      1.513561       1.548817   2.545921e-04       0.011584 
      1.548817       1.584893   2.652171e-04       0.011349 
      1.584893       1.621810   2.630990e-04       0.011395 
      1.621810       1.659587   2.763547e-04       0.011118 
      1.659587       1.698244   2.784387e-04       0.011077 
      1.698244       1.737801   2.885513e-04       0.010881 
      1.737801       1.778279   2.973657e-04       0.010718 
      1.778279       1.819701   3.063851e-04       0.010559 
      1.819701       1.862087   3.127396e-04       0.010451 
      1.862087       1.905461   3.183084e-04       0.010360 
      1.905461       1.949845   3.286943e-04       0.010195 
      1.949845       1.995262   3.352197e-04       0.010095 
      1.995262       2.041738   3.537709e-04       0.009827 
      2.041738       2.089296   3.511403e-04       0.009863 
      2.089296       2.137962   3.675733e-04       0.009640 
      2.137962       2.187762   3.807607e-04       0.009472 
      2.187762       2.238721   3.845529e-04       0.009425 
      2.238721       2.290868   3.968520e-04       0.009278 
      2.290868       2.344229   4.145833e-04       0.009077 
      2.344229       2.398833   4.139683e-04       0.009084 
      2.398833       2.454709   4.246276e-04       0.008969 
      2.454709       2.511886   4.392157e-04       0.008819 
      2.511886       2.570396   4.455019e-04       0.008757 
      2.570396       2.630268   4.620374e-04       0.008598 
      2.630268       2.691535   4.728333e-04       0.008500 
      2.691535       2.754229   4.832534e-04       0.008408 
      2.754229       2.818383   4.949718e-04       0.008307 
      2.818383       2.884032   5.051869e-04       0.008223 
      2.884032       2.951209   5.222690e-04       0.008087 
      2.951209       3.019952   5.334749e-04       0.008002 
      3.019952       3.090295   5.472431e-04       0.007901 
      3.090295       3.162278   5.493955e-04       0.007885 
      3.162278       3.235937   5.679125e-04       0.007755 
      3.235937       3.311311   5.837305e-04       0.007650 
      3.311311       3.388442   5.917933e-04       0.007597 
      3.388442       3.467369   6.060740e-04       0.007507 
      3.467369       3.548134   6.159133e-04       0.007447 
      3.548134       3.630781   6.273583e-04       0.007379 
      3.630781       3.715352   6.436546e-04       0.007285 
      3.715352       3.801894   6.538698e-04       0.007228 
      3.801894       3.890451   6.744708e-04       0.007116 
      3.890451       3.981072   6.741633e-04       0.007118 
      3.981072       4.073803   6.904255e-04       0.007034 
      4.073803       4.168694   7.064144e-04       0.006954 
      4.168694       4.265795   7.190893e-04       0.006892 
      4.265795       4.365158   7.436876e-04       0.006777 
      4.365158       4.466836   7.342583e-04       0.006820 
      4.466836       4.570882   7.598815e-04       0.006704 
      4.570882       4.677351   7.649036e-04       0.006682 
      4.677351       4.786301   7.769636e-04       0.006630 
      4.786301       4.897788   7.957198e-04       0.006552 
      4.897788       5.011872   8.004003e-04       0.006533 
      5.011872       5.128614   8.150909e-04       0.006473 
      5.128614       5.248075   8.243836e-04       0.006437 
      5.248075       5.370318   8.448480e-04       0.006358 
      5.370318       5.495409   8.508609e-04       0.006336 
      5.495409       5.623413   8.639458e-04       0.006288 
      5.623413       5.754399   8.767915e-04       0.006241 
      5.754399       5.888437   8.899790e-04       0.006195 
      5.888437       6.025596   8.881682e-04       0.006201 
      6.025596       6.165950   9.025856e-04       0.006152 
      6.165950       6.309573   9.154997e-04       0.006108 
      6.309573       6.456542   9.307711e-04       0.006058 
      6.456542       6.606934   9.387314e-04       0.006032 
      6.606934       6.760830   9.478532e-04       0.006003 
      6.760830       6.918310   9.513038e-04       0.005992 
      6.918310       7.079458   9.565993e-04       0.005975 
      7.079458       7.244360   9.661311e-04       0.005946 
      7.244360       7.413102   9.702650e-04       0.005933 
      7.413102       7.585776   9.821200e-04       0.005897 
      7.585776       7.762471   9.907977e-04       0.005871 
      7.762471       7.943282       0.001002       0.005839 
      7.943282       8.128305       0.001003       0.005837 
      8.128305       8.317638       0.001016       0.005797 
      8.317638       8.511380       0.001009       0.005818 
      8.511380       8.709636       0.001024       0.005776 
      8.709636       8.912509       0.001015       0.005800 
      8.912509       9.120108       0.001038       0.005735 
      9.120108       9.332543       0.001037       0.005739 
      9.332543       9.549926       0.001038       0.005737 
      9.549926       9.772372       0.001051       0.005701 
      9.772372      10.000000       0.001048       0.005708 
     10.000000      10.232930       0.001048       0.005709 
     10.232930      10.471285       0.001065       0.005662 
     10.471285      10.715193       0.001068       0.005655 
     10.715193      10.964782       0.001065       0.005663 
     10.964782      11.220185       0.001065       0.005663 
     11.220185      11.481536       0.001079       0.005625 
     11.481536      11.748976       0.001078       0.005630 
     11.748976      12.022644       0.001080       0.005624 
     12.022644      12.302688       0.001086       0.005607 
     12.302688      12.589254       0.001102       0.005566 
     12.589254      12.882496       0.001085       0.005610 
     12.882496      13.182567       0.001096       0.005582 
     13.182567      13.489629       0.001098       0.005577 
     13.489629      13.803843       0.001091       0.005596 
     13.803843      14.125375       0.001114       0.005538 
     14.125375      14.454398       0.001110       0.005547 
     14.454398      14.791084       0.001110       0.005548 
     14.791084      15.135612       0.001131       0.005496 
     15.135612      15.488166       0.001121       0.005519 
     15.488166      15.848932       0.001137       0.005480 
     15.848932      16.218101       0.001141       0.005471 
     16.218101      16.595869       0.001138       0.005479 
     16.595869      16.982437       0.001145       0.005462 
     16.982437      17.378008       0.001151       0.005446 
     17.378008      17.782794       0.001158       0.005431 
     17.782794      18.197009       0.001154       0.005440 
     18.197009      18.620871       0.001169       0.005405 
     18.620871      19.054607       0.001170       0.005402 
     19.054607      19.498446       0.001182       0.005375 
     19.498446      19.952623       0.001187       0.005364 
     19.952623      20.417379       0.001197       0.005342 
     20.417379      20.892961       0.001213       0.005306 
