          Format            YIELD 
            Name              n90 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   1.392219e-04       0.014804 
      1.023293       1.047129   1.423035e-04       0.014642 
      1.047129       1.071519   1.460869e-04       0.014451 
      1.071519       1.096478   1.527383e-04       0.014133 
      1.096478       1.122018   1.556064e-04       0.014002 
      1.122018       1.148154   1.584134e-04       0.013878 
      1.148154       1.174898   1.641800e-04       0.013632 
      1.174898       1.202264   1.672921e-04       0.013505 
      1.202264       1.230269   1.787032e-04       0.013066 
      1.230269       1.258925   1.812051e-04       0.012976 
      1.258925       1.288250   1.851411e-04       0.012837 
      1.288250       1.318257   1.888634e-04       0.012710 
      1.318257       1.348963   1.935011e-04       0.012557 
      1.348963       1.380384   2.019526e-04       0.012291 
      1.380384       1.412538   2.070175e-04       0.012140 
      1.412538       1.445440   2.192829e-04       0.011795 
      1.445440       1.479108   2.194660e-04       0.011790 
      1.479108       1.513561   2.308161e-04       0.011497 
      1.513561       1.548817   2.298092e-04       0.011522 
      1.548817       1.584893   2.420747e-04       0.011226 
      1.584893       1.621810   2.431426e-04       0.011202 
      1.621810       1.659587   2.542791e-04       0.010954 
      1.659587       1.698244   2.548283e-04       0.010942 
      1.698244       1.737801   2.644393e-04       0.010741 
      1.737801       1.778279   2.706025e-04       0.010618 
      1.778279       1.819701   2.806101e-04       0.010427 
      1.819701       1.862087   2.877497e-04       0.010297 
      1.862087       1.905461   2.929671e-04       0.010205 
      1.905461       1.949845   3.040426e-04       0.010017 
      1.949845       1.995262   3.124332e-04       0.009882 
      1.995262       2.041738   3.174065e-04       0.009804 
      2.041738       2.089296   3.263767e-04       0.009668 
      2.089296       2.137962   3.344316e-04       0.009551 
      2.137962       2.187762   3.439206e-04       0.009418 
      2.187762       2.238721   3.498397e-04       0.009338 
      2.238721       2.290868   3.647291e-04       0.009146 
      2.290868       2.344229   3.701601e-04       0.009078 
      2.344229       2.398833   3.785811e-04       0.008977 
      2.398833       2.454709   3.916399e-04       0.008826 
      2.454709       2.511886   3.943858e-04       0.008795 
      2.511886       2.570396   3.972234e-04       0.008764 
      2.570396       2.630268   4.099770e-04       0.008626 
      2.630268       2.691535   4.220289e-04       0.008502 
      2.691535       2.754229   4.372234e-04       0.008353 
      2.754229       2.818383   4.459800e-04       0.008271 
      2.818383       2.884032   4.538214e-04       0.008199 
      2.884032       2.951209   4.588252e-04       0.008154 
      2.951209       3.019952   4.716093e-04       0.008043 
      3.019952       3.090295   4.853088e-04       0.007928 
      3.090295       3.162278   4.929365e-04       0.007867 
      3.162278       3.235937   5.065750e-04       0.007760 
      3.235937       3.311311   5.109991e-04       0.007726 
      3.311311       3.388442   5.177115e-04       0.007676 
      3.388442       3.467369   5.300380e-04       0.007586 
      3.467369       3.548134   5.368419e-04       0.007538 
      3.548134       3.630781   5.526162e-04       0.007430 
      3.630781       3.715352   5.687565e-04       0.007324 
      3.715352       3.801894   5.685124e-04       0.007325 
      3.801894       3.890451   5.817847e-04       0.007241 
      3.890451       3.981072   5.947214e-04       0.007162 
      3.981072       4.073803   6.004575e-04       0.007128 
      4.073803       4.168694   6.180624e-04       0.007025 
      4.168694       4.265795   6.245612e-04       0.006989 
      4.265795       4.365158   6.339586e-04       0.006937 
      4.365158       4.466836   6.408541e-04       0.006899 
      4.466836       4.570882   6.495498e-04       0.006853 
      4.570882       4.677351   6.589472e-04       0.006804 
      4.677351       4.786301   6.708770e-04       0.006743 
      4.786301       4.897788   6.785658e-04       0.006705 
      4.897788       5.011872   6.858884e-04       0.006669 
      5.011872       5.128614   6.923263e-04       0.006638 
      5.128614       5.248075   6.989472e-04       0.006606 
      5.248075       5.370318   7.007473e-04       0.006598 
      5.370318       5.495409   7.196031e-04       0.006511 
      5.495409       5.623413   7.184437e-04       0.006516 
      5.623413       5.754399   7.327229e-04       0.006452 
      5.754399       5.888437   7.348282e-04       0.006443 
      5.888437       6.025596   7.392523e-04       0.006424 
      6.025596       6.165950   7.539891e-04       0.006361 
      6.165950       6.309573   7.559113e-04       0.006352 
      6.309573       6.456542   7.544163e-04       0.006359 
      6.456542       6.606934   7.553316e-04       0.006355 
      6.606934       6.760830   7.717160e-04       0.006287 
      6.760830       6.918310   7.742789e-04       0.006277 
      6.918310       7.079458   7.783064e-04       0.006260 
      7.079458       7.244360   7.828220e-04       0.006242 
      7.244360       7.413102   7.851409e-04       0.006233 
      7.413102       7.585776   7.850188e-04       0.006234 
      7.585776       7.762471   7.959723e-04       0.006190 
      7.762471       7.943282   7.937755e-04       0.006199 
      7.943282       8.128305   7.891683e-04       0.006217 
      8.128305       8.317638   7.933789e-04       0.006201 
      8.317638       8.511380   7.983217e-04       0.006181 
      8.511380       8.709636   8.006100e-04       0.006173 
      8.709636       8.912509   8.025017e-04       0.006165 
      8.912509       9.120108   8.007320e-04       0.006172 
      9.120108       9.332543   8.068953e-04       0.006148 
      9.332543       9.549926   7.985047e-04       0.006181 
      9.549926       9.772372   8.109837e-04       0.006133 
      9.772372      10.000000   8.079021e-04       0.006145 
     10.000000      10.232930   7.976809e-04       0.006184 
     10.232930      10.471285   7.961859e-04       0.006190 
     10.471285      10.715193   8.028983e-04       0.006164 
     10.715193      10.964782   8.142789e-04       0.006120 
     10.964782      11.220185   7.978030e-04       0.006183 
     11.220185      11.481536   8.128144e-04       0.006126 
     11.481536      11.748976   7.993895e-04       0.006177 
     11.748976      12.022644   8.021355e-04       0.006167 
     12.022644      12.302688   7.903278e-04       0.006213 
     12.302688      12.589254   8.018304e-04       0.006168 
     12.589254      12.882496   7.921279e-04       0.006205 
     12.882496      13.182567   7.986878e-04       0.006180 
     13.182567      13.489629   7.991149e-04       0.006178 
     13.489629      13.803843   7.939281e-04       0.006198 
     13.803843      14.125375   8.007015e-04       0.006172 
     14.125375      14.454398   7.914567e-04       0.006208 
     14.454398      14.791084   7.941722e-04       0.006197 
     14.791084      15.135612   8.017999e-04       0.006168 
     15.135612      15.488166   7.918533e-04       0.006207 
     15.488166      15.848932   7.909380e-04       0.006210 
     15.848932      16.218101   7.985047e-04       0.006181 
     16.218101      16.595869   7.990539e-04       0.006179 
     16.595869      16.982437   7.935009e-04       0.006200 
     16.982437      17.378008   7.885276e-04       0.006220 
     17.378008      17.782794   7.923110e-04       0.006205 
     17.782794      18.197009   7.982911e-04       0.006181 
     18.197009      18.620871   7.963689e-04       0.006189 
     18.620871      19.054607   7.894124e-04       0.006216 
     19.054607      19.498446   7.913041e-04       0.006209 
     19.498446      19.952623   7.923415e-04       0.006205 
     19.952623      20.417379   7.960943e-04       0.006190 
